Rang,Bild,Gipfel,Höhe in m[5],Gebirge,Land,Dominanz in km[6],Schartenhöhe in m[5],Erstbesteiger,Erstbestei­gung am,Erstbesteiger im Winter,Erstbesteigung im Winter am,Besteigungen,Tote
1,,Mount Everest,8848,Himalaya,"China, Nepal",maximal A1,8848,"Edmund Hillary, Tenzing Norgay",29.05.1953,"Krzysztof Wielicki, Leszek Cichy",17.02.1980,ca. 10.000,216[7]
2,,K2,8611,Karakorum,"China, Pakistan",1316  Mt. Everest,4017  Mt. Everest,"Achille Compagnoni, Lino Lacedelli",31.07.1954,"Nirmal Purja, Gelje Sherpa, Mingma David Sherpa, Mingma Gyalje Sherpa, Sona Sherpa, Mingma Tenzi Sherpa, Pem Chhiri Sherpa, Dawa Temba Sherpa, Kili Pemba Sherpa, Dawa Tenjing Sherpa",16.01.2021[8],302[9],80[9]
3,,Kangchendzönga,8586,Himalaya,"Indien, Nepal",124  Mt. Everest,3922  Mt. Everest,"George Band, Joe Brown",25.05.1955,"Jerzy Kukuczka, Krzysztof Wielicki",11.01.1986,243[10],40/7 A2[10]
4,,Lhotse,8516,Himalaya,"China, Nepal","3,02  Mt. Everest",610  Mt. Everest,"Fritz Luchsinger, Ernst Reiss",18.05.1956,Krzysztof Wielicki,31.12.1988,396[11],12/9 A3[11]
5,,Makalu,8485,Himalaya,"China, Nepal","17,29  Lhotse",2378  Mt. Everest,"Lionel Terray, Jean Couzy",15.05.1955,"Denis Urubko, Simone Moro",09.02.2009,323[12],29[12]
6,,Cho Oyu,8188,Himalaya,"China, Nepal","28,54  Mt. Everest",2340  Mt. Everest,"Josef Jöchler, Herbert Tichy, Pasang Dawa Lama",19.10.1954,"Maciej Berbeka, Maciej Pawlikowski",12.02.1985,2790[13],43[13]
7,,Dhaulagiri,8167,Himalaya,Nepal,"317,5  Cho Oyu",3357  K2,"Kurt Diemberger, Nawang Dorje, Ernst Forrer, Albin Schelbert, Peter Diener, Nyima Dorje",13.05.1960,"Andrzej Czok, Jerzy Kukuczka",21.01.1985,417[14],62[14]
8,,Manaslu,8163,Himalaya,Nepal,"105,6  Dhaulagiri",3092  Mt. Everest,"Gyalzen Norbu, Toshio Imanishi",09.05.1956,"Maciej Berbeka, Ryszard Gajewski",12.01.1984,297[15],58[15]
9,,Nanga Parbat,8125,Himalaya,Pakistan,"188,5  K2",4608  Mt. Everest,Hermann Buhl A4,03.07.1953,"Muhammad Ali Sadpara, Alex Txikon, Simone Moro[16][17]",26.02.2016,326[18],68[18]
10,,Annapurna I,8091,Himalaya,Nepal,"33,8  Dhaulagiri",2984  Mt. Everest,"Louis Lachenal, Maurice Herzog",03.06.1950,"Artur Hajzer, Jerzy Kukuczka",03.02.1987,157[19],60/3 A5[19]
11,,Gasherbrum I (Hidden Peak),8080,Karakorum,"China, Pakistan","24,08  K2",2155  K2,"Peter K. Schoening, Andrew J. Kauffman",05.07.1958,"Adam Bielecki, Janusz Gołąb",09.03.2012,298[20],26[20]
12,,Broad Peak,8051,Karakorum,"China, Pakistan","9,39  K2",1701  Hidden Peak,"Hermann Buhl, Kurt Diemberger, Marcus Schmuck, Fritz Wintersteller",09.06.1957,"Maciej Berbeka, Adam Bielecki, Tomasz Kowalski, Artur Małek",05.03.2013,385[21],20/3 A6[21]
13,,Gasherbrum II,8034,Karakorum,"China, Pakistan","5,33  Hidden Peak",1523  Hidden Peak,"Fritz Moravec, Josef Larch, Hans Willenpart",07.07.1956,"Denis Urubko, Simone Moro, Cory Richards",02.02.2011,872[22],20[22]
14,,Shishapangma,8027,Himalaya,China,"91,24  Cho Oyu",2897  Annapurna,"Xǔ Jìng, Zhāng Jùnyán, Wáng Fùzhōu, Chén Sān, Chéng Tiānliàng, Wū Zōngyuè, Sodnam Dorji, Minar Trashi, Dorji, Tontan",02.05.1964,"Piotr Morawski, Simone Moro",14.01.2005,285[23],24[23]
