Rang,Nebengipfel,Hö­he,Höhe Haupt­gipfel,Schar­ten- höhe[26],Erstbesteiger,Erst­bestei­gung am
1,Mount Everest-Südgipfel,8748,8848,011[27],Tom Bourdillon und Charles Evans,26. Mai 1953
2,Mount Everest-Westgipfel,8296,8848,30,Dušan Podbevšek und Roman Robas,12. Mai 1979
3,K2-Südwestgipfel,8580,8611,30,Eiho Ohtani und Nazir Sabir,7. Aug. 1981
4,Kangchendzönga-Westgipfel,8505,8586,135,Yutaka Ageta und Takao Matsuda,14. Mai 1973
5,Kangchendzönga-Südgipfel,8476,8586,116,Eugeniusz Chrobak und Wojciech Wróż,19. Mai 1978
6,Kangchendzönga-Mittelgipfel,8473,8586,63,"Wojciech Brański, Andrzej Heinrich und Kazimierz Olech",22. Mai 1978
7,Lhotse-Middle West,8410,8516,65,"Alexei Bolotow, Petr Kuznetsow, Sergei Timofeew, Jewgeni Winogradski",23. Mai 2001
8,Lhotse-Middle East,8372,8516,37,unbestiegen,
9,Lhotse Shar,8382,8516,72,"Sepp Mayerl, Rolf Walter",12. Mai 1970
10,Nanga Parbat-Nordschulter,8070,8125,,Hermann Buhl,3. Juli 1953
11,Nanga Parbat-Südgipfel,8042,8125,30,Ueli Bühler,17. Aug. 1982
12,Annapurna-Mittelgipfel,8051,8091,30,"Udo Bönning, Ludwig Greissl, Heinz Oberrauch",3. Okt. 1980
13,Annapurna-Nordostgipfel,8013,8091,50,"José Manuel Anglada, Emilion Civis, Jorge Pons",29. Juli 1974
14,Broad Peak-Vorgipfel,8028,8051,,"Marcus Schmuck, Fritz Wintersteller, Kurt Diemberger und Hermann Buhl",29. Mai 1957
15,Broad Peak-Mittelgipfel,8011,8051,211,"Kazimierz Głazek, Marek Kęsicki, Janusz Kuliś, Bohdan Nowaczyk und Andrzej Sikorski",28. Juli 1975
16,Shishapangma-Mittelgipfel,8008,8027,30,"Makato Hara, Hiro Komamiya, Hirofumi Konishi",10. Okt. 1982
