Order,Order (No O2),Name,Period climbing eight-thousanders,Born,Age,Nationality
1,1,Reinhold Messner,1970–1986,1944,42,Italian
2,,Jerzy Kukuczka,1979–1987,1948,39,Polish
3,2,Erhard Loretan,1982–1995,1959,36,Swiss
4,[51],Carlos Carsolio,1985–1996,1962,33,Mexican
5,,Krzysztof Wielicki,1980–1996,1950,46,Polish
6,3,Juanito Oiarzabal,1985–1999,1956,43,Spanish
7,,Sergio Martini,1983–2000,1949,51,Italian
8,,Park Young-seok,1993–2001,1963,38,Korean
9,,Um Hong-gil,1988–2001,1960[52],40,Korean
10,4,Alberto Iñurrategi,1991–2002[53],1968,33,Spanish
11,,Han Wang-yong,1994–2003,1966,37,Korean
12,5[54],Ed Viesturs,1989–2005,1959,46,American
13,6[55][56][57],Silvio Mondinelli,1993–2007,1958,49,Italian
14,7[58],Iván Vallejo,1997–2008,1959,49,Ecuadorian
15,8[59],Denis Urubko,2000–2009,1973,35,Kazakhstani
16,,Ralf Dujmovits,1990–2009,1961[60],47,German
17[61],9[62],Veikka Gustafsson,1993–2009,1968,41,Finnish
18[63],,Andrew Lock,1993–2009,1961[64],48,Australian
19,10,João Garcia,1993–2010,1967,43,Portuguese
20[65],,Piotr Pustelnik,1990–2010,1951,58,Polish
21[66],,Edurne Pasaban,2001–2010,1973,36,Spanish
22[67],,Abele Blanc,1992–2011[68][69],1954,56,Italian
23,,Mingma Sherpa,2000–2011[68],1978,33,Nepali
24,11,Gerlinde Kaltenbrunner,1998–2011[68],1970,40,Austrian
25,,Vassily Pivtsov [de],2001–2011[68],1975,36,Kazakhstani
26,12,Maxut Zhumayev,2001–2011[68],1977,34,Kazakhstani
27,,Kim Jae-soo [de],2000–2011[68],1961,50,Korean
28[70],13,Mario Panzeri,1988–2012,1964,48,Italian
29[71],,Hirotaka Takeuchi [ja],1995–2012[71],1971,41,Japanese
30,,Chhang Dawa Sherpa,2001–2013[68],1982,30,Nepali
31,14,Kim Chang-ho,2005–2013[68],1970,43,Korean
32,,Jorge Egocheaga [eu],2002–2014[72],1968,45,Spanish
33,15,Radek Jaroš,1998–2014[68],1964,50,Czech
34/35[73],16/17[73],Nives Meroi,1998–2017[74][75],1961,55,Italian
34/35[73],16/17[73],Romano Benet [it],1998–2017[74][75][76],1962,55,Italian / Slovenian
36,,Peter Hámor [sk],1998–2017[77][78][79],1964,52,Slovak
37,18,Azim Gheychisaz,2008–2017[80],1981,37,Iranian
38,,Ferran Latorre,1999–2017[81],1970,46,Spanish
39,19,Òscar Cadiach,1984–2017[82],1952,64,Spanish
40,,Kim Mi-gon,2000–2018[83][84],1973,45,Korean
41,,Sanu Sherpa,2006–2019[85],1975,44,Nepali
42,,Nirmal Purja,2014–2019[24][86][g],1983,36,British[39][40][41]
43,,Mingma Gyabu Sherpa,2010–2019[87][88],1989,30,Nepali
44,,Kim Hong-bin,2006–2021[89][90][91],1964,57,Korean
45,,Nima Gyalzen Sherpa,2004–2022[92][93],1985,37,Nepali
46,,Dong Hong Juan,2015–2023[94][95],1981,42,Chinese
47,,Kristin Harila,2021–2023[96][97],1986,37,Norwegian
48,,Sophie Lavaud [fr],2012–2023[98][99][100][101],1968,55,Swiss / French / Canadian
49,,Tunç Fındık,2001–2023[100][101],1972,51,Turkish
50,,Tenjen Lama Sherpa,2016–2023[25][26][102],,35[103],Nepali
51,,Gelje Sherpa,2017–2023[104][105][106],1992[104],30,Nepali
52,,Chris Warner,1999–2023[107],1965,58,American
53,20,Marco Camandona,2000–2024[108][109],1970,54,Italian
54,,Naoki Ishikawa,2001–4 October 2024[110][111],1977,47,Japanese
54,,Tracee Metcalfe,2016–4 October 2024[112][110],,50[112],American
54,,Sirbaz Khan,2017–4 October 2024[113][114][115][110],1987,37,Pakistani
54,,Dawa Gyalje Sherpa,?–4 October 2024[110],,,Nepali
54,21,Mingma Gyalje Sherpa,?–4 October 2024[110],,,Nepali
59,22,Mario Vielmo [it],1998–9 October 2024[116][117],1964,60,Italian
59,,Naoko Watanabe [ja],2006–9 October 2024[116][118][119],1981,42,Japanese
59,,Adrian Laza,2016–9 October 2024[116][120],1963,60,Romanian
59,,Pasang Nurbu Sherpa,2016-9 October 2024[116][121][122][123],,,Nepali
59,,Shehroze Kashif,2019–9 October 2024[116][124][125][126],2002,22,Pakistani
59,,Dorota Rasińska-Samoćko [pl],2021–9 October 2024[116][127][128],,,Polish
59,,Adriana Brownlee,2021–9 October 2024[116],2001,23,British
59,,Nima Rinji Sherpa,2022–9 October 2024[116][129][130],2006[131],18,Nepali
59,,Alasdair McKenzie,2022–9 October 2024[116],2004,20,French / British
59,,Alina Pekova,2023–9 October 2024[116][132],,,Russian
59,,Ko-Erh Tseng,?–9 October 2024[116],,,Taiwanese
70,,Mingtemba Sherpa,2013-2024[133][134],,,Nepali
71,,Tejan Gurung,2022-2024[135][136],,,Nepali / British
72,,Pasang Tendi,2011-2024[137],,,Nepali
