Proposed new eight-thousander,Height (m),Prominence (m),Dominance (Prom / Height) as a %[164],Dominance classification[164]
Broad Peak Central,8011.0,181.0,2.26,B2
,,,,
Kangchenjunga W-Peak (Yalung Kang),8505.0,135.0,1.59,C1
,,,,
Kangchenjunga S-Peak,8476.0,116.0,1.37,C2
Kangchenjunga C-Peak,8473.0,63.0,0.74,C2
Lhotse C-Peak I (Lhotse Middle),8410.0,65.0,0.77,C2
Lhotse Shar,8382.0,72.0,0.86,C2
,,,,
K 2 SW-Peak,8580.0,30.0,0.35,D1
Lhotse C-Peak II,8372.0,37.0,0.44,D1
Everest W-Peak,8296.0,30.0,0.36,D1
Yalung Kang Shoulder,8200.0,40.0,0.49,D1
Kangchenjunga SE-Peak,8150.0,30.0,0.37,D1
K 2 P. 8134 (SW-Ridge),8134.0,35.0,0.43,D1
Annapurna C-Peak,8051.0,49.0,0.61,D1
Nanga Parbat S-Peak,8042.0,30.0,0.37,D1
Annapurna E-Peak,8026.0,65.0,0.81,C2
Shisha Pangma C-Peak,8008.0,30.0,0.37,D1
,,,,
Everest NE-Shoulder,8423.0,19.0,0.23,D2
Everest NE-Pinnacle III,8383.0,13.0,0.16,D2
Lhotse N-Pinnacle III,8327.0,10.0,0.12,D2
Lhotse N-Pinnacle II,8307.0,12.0,0.14,D2
Lhotse N-Pinnacle I,8290.0,10.0,0.12,D2
Everest NE-Pinnacle II,8282.0,25.0,0.3,D2
