vteClimbing,vteClimbing.1
Types,Rock climbingDisciplines Aid Big wall Multi-pitch Bouldering Highball Competition Speed Free Sport Traditional Solo Free solo Deep-water solo Rope solo Top roping Route types Artificial Crack Face Overhang / Roof Slab Mountaineering Alpine Via ferrata Himalayan Alpine style Expedition style Ice Mixed Dry-tooling Scrambling Hillwalking Other Buildering Canyoning Crane Grass Commercial Parkour Pole Ropes course Rooftopping Roof and tunnel hacking Slide Tree
Rock climbing,Disciplines Aid Big wall Multi-pitch Bouldering Highball Competition Speed Free Sport Traditional Solo Free solo Deep-water solo Rope solo Top roping Route types Artificial Crack Face Overhang / Roof Slab
Disciplines,Aid Big wall Multi-pitch Bouldering Highball Competition Speed Free Sport Traditional Solo Free solo Deep-water solo Rope solo Top roping
Route types,Artificial Crack Face Overhang / Roof Slab
Mountaineering,Alpine Via ferrata Himalayan Alpine style Expedition style Ice Mixed Dry-tooling Scrambling Hillwalking
Other,Buildering Canyoning Crane Grass Commercial Parkour Pole Ropes course Rooftopping Roof and tunnel hacking Slide Tree
Lists,Alpine clubs Climbers Piolet d'Or winners IFSC World Cup winners IFSC World Championships winners IFSC victories Deaths Eight-thousanders Everest Equipment Brands Knots Historical events Grade milestones First ascents Technique Terminology
Terminology,EquipmentRock Aider Daisy chain Anchor Ascender Croll Belay device Auto belay Assisted braking device Grigri Glasses Gloves Bolt Boulder mat Carabiner Maillon Climbing rope Cord Dynamic Static Chalk Descenders Figure-8 Harness Hooks Fifi Skyhook Hammer Hex Lanyard PAC Nut Copperhead Piton Portaledge Quickdraw SLDs Revo Sling SLCDs Camalot Shoes Tricam Ice and snow Alpenstock Abalakov thread Bottled oxygen Crampons Ice axe Ice tool Ice screw Mountaineering boot Rescue Avalanche cord RECCO Transeiver Snow anchor Snowshoe Action Abseiling Australian Dülfersitz Belaying Front pointing Glissading Jumaring Leading Flashing Onsighting Redpointing Rescue Crevasse Self Self-arrest Simul-climbing Rope team Spotting Traversing Tyrolean Other Ape index Approach shoe Clean Climbing route Beta Guidebook Chipping First ascent Pitch Topo Exposure Fall factor Grades Guides Training Bachar ladder Campus board Hangboard MoonBoard
Equipment,Rock Aider Daisy chain Anchor Ascender Croll Belay device Auto belay Assisted braking device Grigri Glasses Gloves Bolt Boulder mat Carabiner Maillon Climbing rope Cord Dynamic Static Chalk Descenders Figure-8 Harness Hooks Fifi Skyhook Hammer Hex Lanyard PAC Nut Copperhead Piton Portaledge Quickdraw SLDs Revo Sling SLCDs Camalot Shoes Tricam Ice and snow Alpenstock Abalakov thread Bottled oxygen Crampons Ice axe Ice tool Ice screw Mountaineering boot Rescue Avalanche cord RECCO Transeiver Snow anchor Snowshoe
Rock,Aider Daisy chain Anchor Ascender Croll Belay device Auto belay Assisted braking device Grigri Glasses Gloves Bolt Boulder mat Carabiner Maillon Climbing rope Cord Dynamic Static Chalk Descenders Figure-8 Harness Hooks Fifi Skyhook Hammer Hex Lanyard PAC Nut Copperhead Piton Portaledge Quickdraw SLDs Revo Sling SLCDs Camalot Shoes Tricam
Ice and snow,Alpenstock Abalakov thread Bottled oxygen Crampons Ice axe Ice tool Ice screw Mountaineering boot Rescue Avalanche cord RECCO Transeiver Snow anchor Snowshoe
Action,Abseiling Australian Dülfersitz Belaying Front pointing Glissading Jumaring Leading Flashing Onsighting Redpointing Rescue Crevasse Self Self-arrest Simul-climbing Rope team Spotting Traversing Tyrolean
Other,Ape index Approach shoe Clean Climbing route Beta Guidebook Chipping First ascent Pitch Topo Exposure Fall factor Grades Guides Training Bachar ladder Campus board Hangboard MoonBoard
Media,Magazines and journals Alpine Journal Alpinist American Alpine Journal Canadian Alpine Journal Climbing Desnivel Himalayan Journal Planinski Vestnik Rock & Ice Summit Non-fiction films The Alpinist El Capitan The Dawn Wall Free Solo Hard Grit
Magazines and journals,Alpine Journal Alpinist American Alpine Journal Canadian Alpine Journal Climbing Desnivel Himalayan Journal Planinski Vestnik Rock & Ice Summit
Non-fiction films,The Alpinist El Capitan The Dawn Wall Free Solo Hard Grit
Companies,Black Diamond CAMP Cascade Designs Deuter Early Winters Eastern Mountain Sports Five Ten Frostline Kits GERRY Mountain Sports Grivel Holubar Mountaineering JanSport Sierra Designs Kelty La Sportiva Lowe Alpine Mammut Marmot Mountain Works Millet Mountain Equipment Co-op Mountain Safety Research Outdoor Research Patagonia Petzl Rab REI The North Face Therm-a-Rest Wild Country
Organizations,National Access Fund Alpine Club Alpine Club of Canada American Alpine Club Appalachian Mountain Club Austrian Alpine Club British Mountaineering Council Club Alpin Français Club Alpino Italiano Federación Española de Deportes de Montaña y Escalada Fédération française de la montagne et de l'escalade German Alpine Club South African Climbing Federation South Tyrol Alpine Club Swiss Alpine Club USA Climbing International International Federation of Sport Climbing (IFSC) International Climbing and Mountaineering Federation (UIAA) Union Internationale des Associations de Guides de Montagnes (UIAGM) Union of International Mountain Leader Associations (UIMLA)
National,Access Fund Alpine Club Alpine Club of Canada American Alpine Club Appalachian Mountain Club Austrian Alpine Club British Mountaineering Council Club Alpin Français Club Alpino Italiano Federación Española de Deportes de Montaña y Escalada Fédération française de la montagne et de l'escalade German Alpine Club South African Climbing Federation South Tyrol Alpine Club Swiss Alpine Club USA Climbing
International,International Federation of Sport Climbing (IFSC) International Climbing and Mountaineering Federation (UIAA) Union Internationale des Associations de Guides de Montagnes (UIAGM) Union of International Mountain Leader Associations (UIMLA)
Category  Commons  WikiProject,Category  Commons  WikiProject
