Jrk nr,Lisa- hapni- kuta,Nimi,Periood,Sünniaasta,Vanus,Kodakondsus
1.,1.,Reinhold Messner,1970–1986,1944,42,Itaalia
2.,,Jerzy Kukuczka,1979–1987 (hukkunud),1948,39,Poola
3.,2.,Erhard Loretan,1982–1995 (hukkunud),1959,36,Šveits
4.,[9],Carlos Carsolio,1985–1996,1962,33,Mehhiko
5.,,Krzysztof Wielicki,1980–1996,1950,46,Poola
6.,3.,Juanito Oiarzabal,1985–1999,1956,43,Hispaania
7.,,Sergio Martini,1983–2000,1949,51,Itaalia
8.,,Park Young-seok,1993–2001 (hukkunud) [10],1963,38,Korea Vabariik
9.,4.,Alberto Iñurrategi,1991–2002,1968,33,Hispaania
10.,,Wang-Yong Han,1994–2003,1966,37,Korea Vabariik
11.,5[11],Ed Viesturs,1989–2005,1959,46,USA
12.,6[12][13][14],Silvio Mondinelli,1993–2007,1958,49,Itaalia
13.,7[14],Iván Vallejo,1997–2008,1959,49,Ecuador
14.,8[15],Deniss Urubko,2000–2009,1973,35,Kasahstan
15.,,Ralf Dujmovits,1990–2009,1961[16],47,Saksamaa
16.,9.,Veikka Gustafsson,1993–2009,1968,41,Soome
17.[17],,Andrew Lock,1993–2009,1961[18],48,Austraalia
18.,10.,João Garcia,1993–2010,1967,43,Portugal
19.[19],,Edurne Pasaban,2001–2010,1973,36,Hispaania
20.[20],,Abele Blanc,1992–2011[21][22],1954,56,Itaalia
21.,,Mingma Sherpa,2000–2011[21],1978,33,Nepal
22.,11.,Gerlinde Kaltenbrunner,1998–2011[21],1970,40,Austria
23.,,Vassili Pivtsov,2001–2011[21],1975,36,Kasahstan
24.,12.,Maksut Žumajev,2001–2011[21],1977,34,Kasahstan
25.,,Kim Jae-soo,1990–2011[21],1961,50,Korea Vabariik
26.[23],13,Mario Panzeri,1988–2012,1964,48,Itaalia
27.[24],,Hirotaka Takeuchi,1995–2012[24],1971,41,Jaapan
28.,,Chhang Dawa Sherpa,2001–2013[21],1982,30,Nepal
29.,14.,Kim Chang-ho,2005–2013 (hukkunud),1970,43,Korea Vabariik
30.,15.,Radek Jaroš,1998–2014[21],1964,50,Tšehhi
31.,16.,Nives Meroi,1998–2017,1961,55,Itaalia
32.,17.,Romano Benet,1998–2017,1962,55,Itaalia
33.,,Peter Hámor,1998–2017,1964,52,Slovakkia
34.,,Ferran Latorre,1999–2017,1970,46,Hispaania
