Nome,Altezza[5],Luogo[5],Prima scalata[5],Prima scalata[5],Prima scalata invernale,Prima scalata invernale,Prima scalata senza ossigeno,Prima scalata senza ossigeno,Statistiche (marzo 2012)[6],Statistiche (marzo 2012)[6],Statistiche (marzo 2012)[6],Mortalità pre-1990[7],Mortalità 1990–2003[7]
Nome,Altezza[5],Luogo[5],Data,Scalatore,Data,Scalatore,Data,Scalatore,Scalate,Decessi,Decessi⁄Scalate,Mortalità pre-1990[7],Mortalità 1990–2003[7]
Everest,8848 m,Nepal  Cina,29 maggio 1953,Edmund Hillary  Tenzing Norgay,17 febbraio 1980,Krzysztof Wielicki  Leszek Cichy,8 maggio 1978,Reinhold Messner  Peter Habeler,5 656,223,"3,9%",37%,"4,4%"
K2,8611 m,Pakistan  Cina[8],31 luglio 1954,Achille Compagnoni  Lino Lacedelli (v. Spedizione al K2 del 1954),16 gennaio 2021,Nirmal Purja  Gelje Sherpa  Mingma David Sherpa  Mingma Gyalje Sherpa  Sona Sherpa  Mingma Tenzi Sherpa  Pem Chhiri Sherpa  Dawa Temba Sherpa  Kili Pemba Sherpa  Dawa Tenjing Sherpa,6 settembre 1978,Louis F. Reichardt,306,81,"26,5%",41%,"19,7%"
Kangchenjunga,8586 m,Nepal  India[9],25 maggio 1955,George Band  Joe Brown,11 gennaio 1986,Krzysztof Wielicki  Jerzy Kukuczka,16 maggio 1979,Doug Scott  Peter Boardman  Joe Tasker,283,40,"14,1%",21%,22%
Lhotse,8516 m,Nepal  Cina,18 maggio 1956,Fritz Luchsinger  Ernst Reiss,31 dicembre 1988,Krzysztof Wielicki,11 maggio 1977,Michel Dacher,461,13,"2,8%",14%,2%
Makalu,8462 m,Nepal  Cina,15 maggio 1955,Jean Couzy  Lionel Terray,9 febbraio 2009,Simone Moro  Denis Urubko,6 ottobre 1975,Marjan Manfreda,361,31,"8,6%",16%,"8,5%"
Cho Oyu,8201 m,Nepal  Cina,19 ottobre 1954,Joseph Joechler  Pasang Dawa Lama  Herbert Tichy,12 febbraio 1985,Maciej Berbeka  Maciej Pawlikowski,Prima scalata realizzata direttamente senza O2,Prima scalata realizzata direttamente senza O2,3 138,44,"1,4%",,
Dhaulagiri I,8167 m,Nepal,13 maggio 1960,Kurt Diemberger  Peter Diener  Nawang Dorje  Nima Dorje  Ernst Forrer  Albin Schelbert,21 gennaio 1985,Andrzej Czok  Jerzy Kukuczka,Prima scalata realizzata direttamente senza O2,Prima scalata realizzata direttamente senza O2,448,69,"15,4%",31%,11%
Manaslu,8163 m,Nepal,9 maggio 1956,Toshio Imanishi  Gyalzen Norbu,12 gennaio 1984,Maciej Berbeka  Ryszard Gajewski,25 aprile 1972,Reinhold Messner,661,65,"9,8%","35,16%","13,42%"
Nanga Parbat,8126 m,Pakistan,3 luglio 1953,Hermann Buhl,26 febbraio 2016,Simone Moro  Ali Sadpara  Alex Txikon,Prima scalata realizzata direttamente senza O2,Prima scalata realizzata direttamente senza O2,335,68,"20,3%",77%,"5,5%"
Annapurna I,8091 m,Nepal,3 giugno 1950,Maurice Herzog  Louis Lachenal,3 febbraio 1987,Jerzy Kukuczka  Artur Hajzer,Prima scalata realizzata direttamente senza O2,Prima scalata realizzata direttamente senza O2,191,61,"31,9%",66%,"19,7%"
Gasherbrum I (Hidden Peak),8068 m,Pakistan  Cina,5 luglio 1958,Andrew Kauffman  Pete Schoening,9 marzo 2012,Adam Bielecki  Janusz Gołąb,10 agosto 1975,Reinhold Messner  Peter Habeler,334,29,"8,7%","15,5%","8,75%"
Broad Peak,8047 m,Pakistan  Cina,9 giugno 1957,Fritz Wintersteller  Marcus Schmuck  Kurt Diemberger  Hermann Buhl,5 marzo 2013,Maciej Berbeka  Adam Bielecki  Tomasz Kowalski  Artur Małek,Prima scalata realizzata direttamente senza O2,Prima scalata realizzata direttamente senza O2,404,21,"5,2%",5%,"8,6%"
Gasherbrum II,8035 m,Pakistan  Cina,7 luglio 1956,Fritz Moravec  Josef Larch  Hans Willenpart,2 febbraio 2011,Simone Moro  Denis Urubko  Cory Richards,Prima scalata realizzata direttamente senza O2,Prima scalata realizzata direttamente senza O2,930,21,"2,3%","7,8%","0,44%"
Shisha Pangma,8027 m,Cina,2 maggio 1964,Hsu Ching  Chang Chun-yen  Wang Fuzhou  Chen San  Cheng Tien-liang  Wu Tsung-yue  Sodnam Doji  Migmar Trashi  Doji  Yonten,14 gennaio 2005,Piotr Morawski  Simone Moro,Prima scalata realizzata direttamente senza O2,Prima scalata realizzata direttamente senza O2,302,25,"8,3%",2%,"16,8%"
