Top,Hoogte,Gebergte,Land,Eerste beklimmer,Datum
Everest,8848 of 8850 m[1],Himalaya,"Nepal, Tibet","Edmund Hillary, Tenzing Norgay",29 mei 1953
K2,8611 m,Karakoram,"Pakistan[2], China","Achille Compagnoni, Lino Lacedelli",31 juli 1954
Kangchenjunga,8586 m,Himalaya,"Sikkim, Nepal","Joe Brown, George Band",25 mei 1955
Lhotse,8516 m,Himalaya,"Nepal, Tibet","Fritz Luchsinger, Ernst Reiss",18 mei 1956
Makalu,8462 m,Himalaya,"China, Nepal","Lionel Terray, Jean Couzy",15 mei 1955
Cho Oyu,8201 m,Himalaya,"Tibet, Nepal","Herbert Tichy, Sepp Joechler, Pasang Dawa Lama",19 oktober 1954
Dhaulagiri,8167 m,Himalaya,Nepal,"Kurt Diemberger, Nawang Dorje, Ernst Forrer, Albin Schelbert, Peter Diener, Nima Dorje",13 mei 1960
Manaslu,8163 m,Himalaya,Nepal,"Gyalzen Norbu, Toshia Imanishi",9 mei 1956
Nanga Parbat,8126 m,Himalaya,Pakistan[2],Hermann Buhl,3 juli 1953
Annapurna I,8091 m,Himalaya,Nepal,"Louis Lachenal, Maurice Herzog",3 juni 1950
Gasherbrum I ook wel Hidden Peak,8068 m,Karakoram,"Pakistan[2], China","Pete Schoening, Andrew Kauffman",5 juli 1958
Broad Peak,8047 m,Karakoram,"China, Pakistan[2]","Hermann Buhl, Kurt Diemberger, Marcus Schmuck, Fritz Wintersteller",9 juni 1957
Gasherbrum II,8035 m,Karakoram,"Pakistan[2], China","Fritz Moravec, Josef Larch, Hans Willenpart",8 juli 1956
Shisha Pangma,8027 m,Himalaya,Tibet,Hsu Ching en 9 andere Chinese bergbeklimmers,2 mei 1964
