Unnamed: 0,Naam,In tijdsbestek,Nationaliteit,O2,Nieuwe route,Winter
1,Reinhold Messner,1970–1986,"Italië, Zuid-Tirol",,"NP, Ma, GI, ME, Ka, An, CO",
2,Jerzy Kukuczka,1979–1987,Polen,ME,"ME, MK, Ma, BP, GII, GI, K2, SP, NP","Dh, CO, Ka, An"
3,Erhard Loretan,1982–1995,Zwitserland,,"CO, An",Dh
4,Carlos Carsolio,1985–1996,Mexico,Ja[3],,
5,Krzysztof Wielicki,1980–1996,Polen,Ja[3],"Ma, SP",ME
6,Juanito Oiarzabal,1985–1999,Spanje,,,
7,Sergio Martini,1983–2000,Italië,Ja[3],,
8,Park Young-Seok,1993–2001,Zuid-Korea,Ja[3],,
9,Um Hong-Gil,1988–2001,Zuid-Korea,Ja[3],,
10,Alberto Iñurrategi,1991–2002,Spanje,,,
11,Han Wang-Yong,1994–2003,Zuid-Korea,Ja[3],,
12,Ed Viesturs,1989–2005,USA,,,
13,Silvio Mondinelli,1993–2007,Italië,,,
14,Iván Vallejo,1997–2008,Ecuador,,,
15,Denis Urubko,2000–2009,Kazachstan,,,
16,Ralf Dujmovits,1990–2009,Duitsland,,,
17,Veikka Gustafsson,1993–2009,Finland,,,
18,Andrew Lock,1993–2009,Australië,,,
19,João Garcia,1993–2010,Portugal,,,
20,Piotr Pustelnik,1990–2010,Polen,,,
21,Oh Eun-sun,1997–2010,Zuid-Korea,Kangchenjunga betwist!,,
22,Edurne Pasaban,2001-2010,Spanje,,,
23,Abele Blanc,1992–2011,Italië,,,
24,Mingma Sherpa,2000–2011,Nepal,,,
25,Gerlinde Kaltenbrunner,1998–2011,Oostenrijk,Eerste vrouw die alle achtduizenders beklom zonder gebruik van (extra) zuurstof[4],,
26,Vassili Pivtsov,2001–2011,Kazachstan,,,
27,Maksut Zhumayev,2001–2011,Kazachstan,,,
28,Jae-Soo Kim,1990–2011,Zuid-Korea,Ja[3],,
29,Nirmal Purja,2019–2019,Nepal,Ja[3],,K2
