Unnamed: 0,姓名,時期,國籍,所用时间
1,莱茵霍尔德·梅斯纳尔,1970-1986,意大利,16年3个月19天
2,捷西·库库奇卡,1979-1987,波兰,7年11个月14天
3,埃哈德·罗瑞坦,1982-1995,瑞士,13年3个月25天
4,卡洛斯·卡索里奥,1985-1996,墨西哥,10年9个月29天
5,克里茨托夫·维利斯基（Krzysztof Wielicki）,1980-1996,波蘭,16年6个月15天
6,奥亚尔扎巴（Juanito Oiarzabal）,1985-1999,西班牙,13年11个月14天
7,塞吉歐·馬提尼,1976-2000,意大利,16年9个月15天
8,嚴弘吉,1988-2001,韓國,12年11个月26天
9,朴英碩,1993-2001,韓國,8年2个月6天
10,Alberto Inurrategi,1991-2002,西班牙,10年7个月16天
11,韓王龍,1994-2003,韓國,8年9个月17天
12,Ed Viesturs,1989-2005,美國,15年11个月24天
13,Silvio Mondinelli,1993-2007,意大利,13年8个月29天
14,Ivan Vallejo,1997-2008,厄瓜多尔,11年
15,丹尼斯·紐博克,2000-2009,哈萨克斯坦,9年
16,拉夫·杜莫維茨,1990-2009,德国,9年
17,Veikka Gustafsson,1993-2009,芬兰,16年
18,安德鲁·劳克,1993-2009,澳大利亚,16年
19,乔奥·加西亚,1993-2010,葡萄牙,17年
20,皮奥特·皮斯代尔尼克,1990-2010,波兰,20年
21,埃杜尔纳·帕萨班,2001-2010,西班牙,10年
