Unnamed: 0,無氧攀登,姓名,時期,Unnamed: 4,年齡,國籍
22[19],,Abele Blanc,1992–2011[20][21],1954,56,義大利
23,,Mingma Sherpa,2000–2011[20],1978,33,尼泊尔
24,11.0,格琳德·卡爾滕布魯納,1998–2011[20],1970,40,奥地利
25,,Vassily Pivtsov,2001–2011[20],1975,36,哈萨克斯坦
26,12.0,Maxut Zhumayev,2001–2011[20],1977,34,哈萨克斯坦
27,,Jae-Soo Kim,2000–2011[20],1961,50,韩国
28[22],13.0,Mario Panzeri,1988–2012,1964,48,義大利
29[23],,竹内洋岳,1995–2012[23],1971,41,日本
30 [*],,Chhang Dawa Sherpa,2001–2013[20],1982,30,尼泊尔
31,14.0,Kim Chang-Ho,2005–2013[20],1970,43,韩国
32,,Jorge Egocheaga,2002–2014[24],1968,45,西班牙
33,15.0,Radek Jaroš,1998–2014[20],1964,50,捷克
