Rank,Peak,Height,Height,Prominence,Prominence,Parent,Location
Rank,Peak,m,ft,m,ft,Parent,Location
1,Gangkhar Puensum,7570,24836,2995,9826,Kangchenjunga,Bhutan/China
2,Kunyang Chhish West,7350,24114,202,663,Kunyang Chhish,Pakistan
3,Summa Ri,7302,23957,246,807,Skilbrum,Pakistan
4,Lapche Kang III,7250,23786,570,1870,Lapche Kang,China
5,Apsarasas Kangri[a],7243,23763,607,1991,Teram Kangri I,India
6,Tongshanjiabu,7207,23645,1757,5764,Gangkhar Puensum,Bhutan/China
7,Skyang Kangri West,7174,23537,194,636,Skyang Kangri,Pakistan
8,Chamar South,7161,23494,219,719,Chamar,Nepal
9,Namcha Barwa II,7146,23445,166,545,Namcha Barwa,China
10,Chongtar Kangri NE,7145,23442,205,673,Chongtar Kangri,China
11,Asapurna I,7140,23425,262,860,Annapurna I,Nepal
12,Urdok Kangri II,7137,23415,321,1053,Sia Kangri,Pakistan/China
13,Praqpa Kangri I,7134,23406,668,2192,Skilbrum,Pakistan
14,Mandu Kangri ? [cs; de][b],7127,23383,630,2067,Masherbrum,Pakistan
15,Annapurna Dakshin NE,7126,23379,151,495,Annapurna Dakshin,Nepal
16,Teri Kang,7125,23376,454,1490,Tongshanjiabu,Bhutan/China
17,Sanglung [ca; de],7095,23278,995,3264,Namcha Barwa,China
