Name,Coordinates,Length (km)[note 1],Approval Date,Source of name,Ref
Abaya Lacus,73°10′N 45°33′W﻿ / ﻿73.17°N 45.55°W,65.0,27 September 2007,"Lake Abaya, Ethiopia",WGPSN
Akmena Lacus,85°06′N 55°36′W﻿ / ﻿85.1°N 55.6°W,35.6,7 August 2017,"Lake Akmena, Lithuania",WGPSN
Albano Lacus,65°54′N 236°24′W﻿ / ﻿65.9°N 236.4°W,6.2,16 September 2010,"Lake Albano, Italy",WGPSN
Annecy Lacus,76°48′N 128°54′W﻿ / ﻿76.8°N 128.9°W,20.0,26 June 2017,"Lake Annecy, France",WGPSN
Arala Lacus,78°06′N 124°54′W﻿ / ﻿78.1°N 124.9°W,12.3,26 June 2017,"Lake Arala, Mali",WGPSN
Atitlán Lacus,69°18′N 238°48′W﻿ / ﻿69.3°N 238.8°W,13.7,16 September 2010,"Lake Atitlán, Guatemala",WGPSN
Balaton Lacus,82°54′N 87°30′W﻿ / ﻿82.9°N 87.5°W,35.6,7 August 2017,"Lake Balaton, Hungary",WGPSN
Bolsena Lacus,75°45′N 10°17′W﻿ / ﻿75.75°N 10.28°W,101.0,27 September 2007,"Lake Bolsena, Italy",WGPSN
Brienz Lacus,85°18′N 43°48′W﻿ / ﻿85.3°N 43.8°W,50.6,7 August 2017,"Lake Brienz, Switzerland",WGPSN
Buada Lacus,76°24′N 129°36′W﻿ / ﻿76.4°N 129.6°W,76.4,26 June 2017,"Buada Lagoon, Nauru",WGPSN
Cardiel Lacus,70°12′N 206°30′W﻿ / ﻿70.2°N 206.5°W,22.0,7 April 2011,"Cardiel Lake, Argentina",WGPSN
Cayuga Lacus,69°48′N 230°00′W﻿ / ﻿69.8°N 230.0°W,22.7,16 September 2010,"Cayuga Lake, USA",WGPSN
Chilwa Lacus,75°00′N 131°18′W﻿ / ﻿75°N 131.3°W,19.8,6 June 2017,"Lake Chilwa, near Malawi-Mozambique border",WGPSN
Crveno Lacus,79°36′S 184°54′W﻿ / ﻿79.6°S 184.9°W,41.0,20 July 2015,"Crveno Jezero, Croatia",WGPSN
Dilolo Lacus,76°12′N 125°00′W﻿ / ﻿76.2°N 125°W,18.3,26 June 2017,"Dilolo Lake, Angola",WGPSN
Dridzis Lacus,78°54′N 131°18′W﻿ / ﻿78.9°N 131.3°W,50.0,26 June 2017,"Lake Dridzis, Latvia",WGPSN
Enriquillo Lacus,71°24′N 237°35′W﻿ / ﻿71.4°N 237.59°W,47.0,13 April 2022,Lake in the Dominican Republic,WGPSN
Feia Lacus,73°42′N 64°25′W﻿ / ﻿73.7°N 64.41°W,47.0,27 September 2007,"Lake Feia, Brazil",WGPSN
Fogo Lacus,81°54′N 98°00′W﻿ / ﻿81.9°N 98°W,32.3,7 August 2017,"Lagoa do Fogo, Azores, Portugal",WGPSN
