Lacunae,Coordinates,Length (km),Approval Date,Named after,Ref
Atacama Lacuna,68°12′N 227°36′W﻿ / ﻿68.2°N 227.6°W,35.9,21 December 2010,"Salar de Atacama, intermittent lake in Chile",WGPSN
Cerknica Lacuna,71°07′N 175°34′W﻿ / ﻿71.12°N 175.56°W,96.0,13 April 2022,Intermittent lake in Slovenia,WGPSN
Eyre Lacuna,72°36′N 225°06′W﻿ / ﻿72.6°N 225.1°W,25.4,21 December 2010,"Lake Eyre, an intermittent lake in Australia",WGPSN
Jerid Lacuna,66°42′N 221°00′W﻿ / ﻿66.7°N 221°W,42.6,21 December 2010,"Chott el Djerid, intermittent lake in Tunisia",WGPSN
Kutch Lacuna,88°24′N 217°00′W﻿ / ﻿88.4°N 217°W,175.0,3 December 2013,"Great Rann of Kutch, intermittent lake on Pakistani-Indian border",WGPSN
Melrhir Lacuna,64°54′N 212°36′W﻿ / ﻿64.9°N 212.6°W,23.0,21 December 2010,"Chott Melrhir, intermittent lake in Algeria",WGPSN
Nakuru Lacuna,65°49′N 94°00′W﻿ / ﻿65.81°N 94°W,188.0,3 December 2013,"Lake Nakuru, intermittent lake in Kenya",WGPSN
Ngami Lacuna,66°42′N 213°54′W﻿ / ﻿66.7°N 213.9°W,37.2,21 December 2010,"Lake Ngami, in Botswana, and like its terrestrial namesake is considered to be endorheic.",WGPSN
Orog Lacuna,70°51′N 172°04′W﻿ / ﻿70.85°N 172.06°W,42.0,13 April 2022,Intermittent lake in Mongolia,WGPSN
Racetrack Lacuna,66°06′N 224°54′W﻿ / ﻿66.1°N 224.9°W,9.9,21 December 2010,"Racetrack Playa, intermittent lake in California, USA",WGPSN
Uyuni Lacuna,66°18′N 228°24′W﻿ / ﻿66.3°N 228.4°W,27.0,21 December 2010,"Salar de Uyuni, intermittent lake and world's largest salt flat in Bolivia",WGPSN
Veliko Lacuna,76°48′S 33°06′W﻿ / ﻿76.8°S 33.1°W,93.0,20 July 2015,"Veliko Lake, intermittent lake in Bosnia-Herzegovina",WGPSN
Woytchugga Lacuna,68°53′N 109°00′W﻿ / ﻿68.88°N 109.0°W,449.0,3 December 2013,"Indications are that it is an intermittent lake and so was named in 2013 after Lake Woytchugga near Wilcannia, Australia.",WGPSN
