Name,Coordinates,Liquid body,Length (km)[note 1],Approval Date,Source of name,Ref
Arnar Sinus,72°36′N 322°00′W﻿ / ﻿72.6°N 322°W,Kraken Mare,101.0,19 January 2015,"Arnar, fjord in Iceland",WGPSN
Avacha Sinus,82°52′N 335°26′W﻿ / ﻿82.87°N 335.43°W,Punga Mare,51.0,12 March 2020,"Avacha Bay in Kamchatka, Russia",WGPSN
Baffin Sinus,80°21′N 344°37′W﻿ / ﻿80.35°N 344.62°W,Kraken Mare,110.0,9 January 2018,Baffin Bay between Canada and Greenland,WGPSN
Boni Sinus,78°41′N 345°23′W﻿ / ﻿78.69°N 345.38°W,Kraken Mare,54.0,9 January 2018,Gulf of Boni in Indonesia,WGPSN
Dingle Sinus,81°22′N 336°26′W﻿ / ﻿81.36°N 336.44°W,Kraken Mare,80.0,9 January 2018,Dingle Bay in Ireland,WGPSN
Fagaloa Sinus,82°54′N 320°30′W﻿ / ﻿82.9°N 320.5°W,Punga Mare,33.0,14 December 2020,"Fagaloa Bay in Upolu Island, Samoa",WGPSN
Flensborg Sinus,64°54′N 295°18′W﻿ / ﻿64.9°N 295.3°W,Kraken Mare,115.0,19 January 2015,"Flensburg Firth, fjord between Denmark and Germany",WGPSN
Fundy Sinus,83°16′N 315°38′W﻿ / ﻿83.26°N 315.64°W,Punga Mare,91.0,12 March 2020,Bay of Fundy in Canada that hosts the world's largest tides[57],WGPSN
Gabes Sinus,67°36′N 289°36′W﻿ / ﻿67.6°N 289.6°W,Kraken Mare,147.0,19 January 2015,"Gabes, or Syrtis minor, a bay in Tunisia",WGPSN
Genova Sinus,80°07′N 326°37′W﻿ / ﻿80.11°N 326.61°W,Kraken Mare,125.0,9 January 2018,Gulf of Genoa in Italy,WGPSN
Kumbaru Sinus,56°48′N 303°48′W﻿ / ﻿56.8°N 303.8°W,Kraken Mare,122.0,19 January 2015,Bay in India,WGPSN
Lulworth Sinus,67°11′N 316°53′W﻿ / ﻿67.19°N 316.88°W,Kraken Mare,24.0,12 March 2020,Lulworth Cove in southern England,WGPSN
Maizuru Sinus,78°54′N 352°32′W﻿ / ﻿78.9°N 352.53°W,Kraken Mare,92.0,9 January 2018,Maizuru Bay in Japan,WGPSN
Manza Sinus,79°17′N 346°06′W﻿ / ﻿79.29°N 346.1°W,Kraken Mare,37.0,9 January 2018,Manza Bay in Tanzania,WGPSN
Montego Sinus,80°46′N 130°55′W﻿ / ﻿80.76°N 130.92°W,,83.0,13 April 2022,Montego Bay in Jamaica,WGPSN
Moray Sinus,76°36′N 281°24′W﻿ / ﻿76.6°N 281.4°W,Kraken Mare,204.0,19 January 2015,Moray Firth in Scotland,WGPSN
Nicoya Sinus,74°48′N 251°12′W﻿ / ﻿74.8°N 251.2°W,Ligeia Mare,130.0,19 January 2015,Gulf of Nicoya in Costa Rica,WGPSN
Okahu Sinus,73°42′N 282°00′W﻿ / ﻿73.7°N 282°W,Kraken Mare,141.0,19 January 2015,"Okahu Bay near Auckland, New Zealand",WGPSN
Patos Sinus,77°12′N 224°48′W﻿ / ﻿77.2°N 224.8°W,Ligeia Mare,103.0,19 January 2015,"Patos, fjord in Chile",WGPSN
Puget Sinus,82°24′N 241°06′W﻿ / ﻿82.4°N 241.1°W,Ligeia Mare,93.0,19 January 2015,"Puget Sound in Washington, United States",WGPSN
Rombaken Sinus,75°18′N 232°54′W﻿ / ﻿75.3°N 232.9°W,Ligeia Mare,92.5,19 January 2015,"Rombaken, fjord in Norway",WGPSN
Saldanha Sinus,82°25′N 322°30′W﻿ / ﻿82.42°N 322.5°W,Punga Mare,18.0,14 December 2020,Saldanha Bay in South Africa,WGPSN
Skelton Sinus,76°48′N 314°54′W﻿ / ﻿76.8°N 314.9°W,Kraken Mare,73.0,19 January 2015,"Skelton Glacier near Ross Sea, Antarctica",WGPSN
Trold Sinus,71°18′N 292°42′W﻿ / ﻿71.3°N 292.7°W,Kraken Mare,118.0,19 January 2015,"Trold Fiord Formation in Nunavut, Canada",WGPSN
Tumaco Sinus,82°33′N 315°13′W﻿ / ﻿82.55°N 315.22°W,Punga Mare,31.0,14 December 2020,"Tumaco, port city and bay in Colombia",WGPSN
Tunu Sinus,79°12′N 299°48′W﻿ / ﻿79.2°N 299.8°W,Kraken Mare,134.0,19 January 2015,"Tunu, fjord in Greenland",WGPSN
Wakasa Sinus,80°42′N 270°00′W﻿ / ﻿80.7°N 270°W,Ligeia Mare,146.0,19 January 2015,Wakasa Bay in Japan,WGPSN
Walvis Sinus,58°12′N 324°06′W﻿ / ﻿58.2°N 324.1°W,Kraken Mare,253.0,19 January 2015,Walvis Bay in Namibia,WGPSN
