中文名,英文名,坐标,长度(公里)[note 1],命名来源
阿拜亚湖,Abaya Lacus,73°10′N 45°33′W﻿ / ﻿73.17°N 45.55°W,65.0,埃塞俄比亚阿拜亚湖
阿克梅纳湖,Akmena Lacus,85°06′N 55°36′W﻿ / ﻿85.1°N 55.6°W,35.6,立陶宛阿克梅纳湖
阿尔巴诺湖,Albano Lacus,65°54′N 236°24′W﻿ / ﻿65.9°N 236.4°W,6.2,意大利阿尔巴诺湖
阿讷西湖,Annecy Lacus,76°48′N 128°54′W﻿ / ﻿76.8°N 128.9°W,20.0,法国阿讷西湖
阿拉拉湖,Arala Lacus,78°06′N 124°54′W﻿ / ﻿78.1°N 124.9°W,12.3,马里阿拉拉湖
阿蒂特兰湖,Atitlán Lacus,69°18′N 238°48′W﻿ / ﻿69.3°N 238.8°W,13.7,危地马拉阿蒂特兰湖
巴拉顿湖,Balaton Lacus,82°54′N 87°30′W﻿ / ﻿82.9°N 87.5°W,35.6,匈牙利巴拉顿湖
博尔塞納湖,Bolsena Lacus,75°45′N 10°17′W﻿ / ﻿75.75°N 10.28°W,101.0,意大利博尔塞纳湖
布里恩茨湖,Brienz Lacus,85°18′N 43°48′W﻿ / ﻿85.3°N 43.8°W,50.6,瑞士布里恩茨湖
布阿达湖,Buada Lacus,76°24′N 129°36′W﻿ / ﻿76.4°N 129.6°W,76.4,瑙鲁布阿达泻湖
卡迪尔湖,Cardiel Lacus,70°12′N 206°30′W﻿ / ﻿70.2°N 206.5°W,22.0,阿根廷卡迪尔湖
卡尤加湖,Cayuga Lacus,69°48′N 230°00′W﻿ / ﻿69.8°N 230.0°W,22.7,美国卡尤加湖
奇尔瓦湖,Chilwa Lacus,75°00′N 131°18′W﻿ / ﻿75°N 131.3°W,19.8,靠近马拉维-莫桑比克边界的奇尔瓦湖
克维诺湖,Crveno Lacus,79°36′S 184°54′W﻿ / ﻿79.6°S 184.9°W,41.0,克罗地亚红湖
迪洛洛湖,Dilolo Lacus,76°12′N 125°00′W﻿ / ﻿76.2°N 125°W,18.3,安哥拉迪洛洛湖
德里济斯湖,Dridzis Lacus,78°54′N 131°18′W﻿ / ﻿78.9°N 131.3°W,50.0,拉脱维亚德里济斯湖
费亚湖,Feia Lacus,73°42′N 64°25′W﻿ / ﻿73.7°N 64.41°W,47.0,巴西福莫萨费亚湖
福戈湖,Fogo Lacus,81°54′N 98°00′W﻿ / ﻿81.9°N 98°W,32.3,葡萄牙亚速尔群岛拉戈阿-福戈火山湖
弗里曼湖,Freeman Lacus,73°36′N 211°06′W﻿ / ﻿73.6°N 211.1°W,26.0,美国弗里曼湖
格拉斯米尔湖,Grasmere Lacus,72°18′N 103°06′W﻿ / ﻿72.3°N 103.1°W,33.3,英国格拉斯米尔湖
哈马尔湖,Hammar Lacus,48°36′N 308°17′W﻿ / ﻿48.6°N 308.29°W,200.0,伊拉克哈马尔湖
洛加湖,Hlawga Lacus,76°36′N 103°36′W﻿ / ﻿76.6°N 103.6°W,40.3,缅甸洛加湖
伊胡特里湖,Ihotry Lacus,76°06′N 137°12′W﻿ / ﻿76.1°N 137.2°W,37.5,马达加斯加伊胡特里湖
伊莫金湖,Imogene Lacus,71°06′N 111°48′W﻿ / ﻿71.1°N 111.8°W,38.0,美国伊莫金湖
镜泊湖,Jingpo Lacus,73°00′N 336°00′W﻿ / ﻿73.0°N 336.0°W,240.0,中国镜泊湖
胡宁湖,Junín Lacus,66°54′N 236°54′W﻿ / ﻿66.9°N 236.9°W,6.3,秘鲁胡宁湖
喀拉库勒湖,Karakul Lacus,86°18′N 56°36′W﻿ / ﻿86.3°N 56.6°W,18.4,塔吉克斯坦喀拉库勒湖
凯央根湖,Kayangan Lacus,86°18′S 236°54′W﻿ / ﻿86.3°S 236.9°W,6.2,菲律宾凯央根湖
