中文名,英文名,坐标,长度(公里)[note 1],名称来源
阿塔卡马干湖,Atacama Lacuna,68°12′N 227°36′W﻿ / ﻿68.2°N 227.6°W,35.9,智利间歇湖阿塔卡马盐沼
艾尔干湖,Eyre Lacuna,72°36′N 225°06′W﻿ / ﻿72.6°N 225.1°W,25.4,澳大利亚间歇湖艾尔湖 [56]
吉利特干湖,Jerid Lacuna,66°42′N 221°00′W﻿ / ﻿66.7°N 221°W,42.6,突尼斯南部内流咸水湖吉利特盐湖
卡奇干湖,Kutch Lacuna,88°24′N 217°00′W﻿ / ﻿88.4°N 217°W,175.0,印度-巴基斯坦边界盐沼大卡奇沼泽地
迈勒吉尔干湖,Melrhir Lacuna,64°54′N 212°36′W﻿ / ﻿64.9°N 212.6°W,23.0,阿尔及利亚间歇湖迈勒吉尔盐湖
纳库鲁干湖,Nakuru Lacuna,65°49′N 94°00′W﻿ / ﻿65.81°N 94°W,188.0,肯尼亚纳库鲁湖
恩加米干湖,Ngami Lacuna,66°42′N 213°54′W﻿ / ﻿66.7°N 213.9°W,37.2,博茨瓦纳恩加米湖[57]，并且犹如地球上的同名湖一样，它也被认为是一座内流盆地。
跑道干湖,Racetrack Lacuna,66°06′N 224°54′W﻿ / ﻿66.1°N 224.9°W,9.9,美国加利福尼亚州间歇湖—跑道干湖
乌尤尼干湖,Uyuni Lacuna,66°18′N 228°24′W﻿ / ﻿66.3°N 228.4°W,27.0,乌尤尼盐沼，玻利维亚间歇湖，世界上最大的盐滩。
维利科干湖,Veliko Lacuna,76°48′S 33°06′W﻿ / ﻿76.8°S 33.1°W,93.0,维利科湖，波斯尼亚和黑塞哥维那间歇湖
沃伊丘加干湖,Woytchugga Lacuna,68°53′N 109°00′W﻿ / ﻿68.88°N 109.0°W,449.0,迹象表明它是一座间歇性的“湖泊”，因此在2013年以澳大利亚威尔坎尼亚附近的沃伊丘加湖命名了它[58][59]。
