中文名,英文名,坐标,所在海洋,长度(公里)[note 1],名称来源
阿纳尔湾,Arnar Sinus,72°36′N 322°00′W﻿ / ﻿72.6°N 322°W,克拉肯海,101.0,阿纳尔，冰岛峡湾
阿瓦查湾,Avacha Sinus,82°52′N 335°26′W﻿ / ﻿82.87°N 335.43°W,蓬加海,51.0,俄罗斯堪察加半岛阿瓦恰湾
巴芬湾,Baffin Sinus,80°21′N 344°37′W﻿ / ﻿80.35°N 344.62°W,克拉肯海,110.0,加拿大和格陵兰之间的巴芬湾
波尼湾,Boni SInus,78°41′N 345°23′W﻿ / ﻿78.69°N 345.38°W,克拉肯海,54.0,印度尼西亚波尼湾
丁格尔湾,Dingle Sinus,81°22′N 336°26′W﻿ / ﻿81.36°N 336.44°W,克拉肯海,80.0,爱尔兰丁格尔湾
法加洛亚湾,Fagaloa Sinus,82°54′N 320°30′W﻿ / ﻿82.9°N 320.5°W,蓬加海,33.0,萨摩亚乌波卢岛法加洛亚湾
弗伦斯堡湾,Flensborg Sinus,64°54′N 295°18′W﻿ / ﻿64.9°N 295.3°W,克拉肯海,115.0,弗伦斯堡弗尔斯湾，位于丹麦和德国之间的峡湾。
芬迪湾,Fundy Sinus,83°16′N 315°38′W﻿ / ﻿83.26°N 315.64°W,蓬加海,91.0,加拿大芬迪湾是世界上潮汐最大的地方[60]
加贝斯湾,Gabes Sinus,67°36′N 289°36′W﻿ / ﻿67.6°N 289.6°W,克拉肯海,147.0,突尼斯加贝斯湾或小瑟提斯湾
热那亚湾,Genova Sinus,80°07′N 326°37′W﻿ / ﻿80.11°N 326.61°W,克拉肯海,125.0,意大利热那亚湾
昆巴鲁湾,Kumbaru Sinus,56°48′N 303°48′W﻿ / ﻿56.8°N 303.8°W,克拉肯海,122.0,印度的海湾
卢沃斯湾,Lulworth Sinus,67°11′N 316°53′W﻿ / ﻿67.19°N 316.88°W,克拉肯海,24.0,英格兰南部的卢沃斯湾
舞鹤湾,Maizuru Sinus,78°54′N 352°32′W﻿ / ﻿78.9°N 352.53°W,克拉肯海,92.0,日本舞鹤湾
曼扎湾,Manza Sinus,79°17′N 346°06′W﻿ / ﻿79.29°N 346.1°W,克拉肯海,37.0,坦桑尼亚曼扎湾
马里湾,Moray Sinus,76°36′N 281°24′W﻿ / ﻿76.6°N 281.4°W,克拉肯海,204.0,苏格兰马里河口湾
尼科亚湾,Nicoya Sinus,74°48′N 251°12′W﻿ / ﻿74.8°N 251.2°W,丽姬亚海,130.0,哥斯达黎加尼科亚湾
奥卡胡湾,Okahu Sinus,73°42′N 282°00′W﻿ / ﻿73.7°N 282°W,克拉肯海,141.0,新西兰奥克兰附近的奥卡胡湾
帕托斯湾,Patos Sinus,77°12′N 224°48′W﻿ / ﻿77.2°N 224.8°W,丽姬亚海,103.0,智利帕托斯峡湾
普吉特湾,Puget Sinus,82°24′N 241°06′W﻿ / ﻿82.4°N 241.1°W,丽姬亚海,93.0,美国华盛顿州普吉特海湾
罗姆巴肯湾,ombaken Sinus,75°18′N 232°54′W﻿ / ﻿75.3°N 232.9°W,丽姬亚海,92.5,挪威罗姆巴肯峡湾
萨尔达尼亚湾,Saldanha Sinus,82°25′N 322°30′W﻿ / ﻿82.42°N 322.5°W,蓬加海,18.0,南非萨尔达尼亚湾
斯凯尔顿湾,Skelton Sinus,76°48′N 314°54′W﻿ / ﻿76.8°N 314.9°W,克拉肯海,73.0,南极洲靠近罗斯海的斯凯尔顿冰川
特罗尔德湾,Trold Sinus,71°18′N 292°42′W﻿ / ﻿71.3°N 292.7°W,克拉肯海,118.0,加拿大努纳武特地区特罗尔德峡湾地层
图马科湾,Tumaco Sinus,82°33′N 315°13′W﻿ / ﻿82.55°N 315.22°W,蓬加海,31.0,哥伦比亚港口城市和海湾图马科
图努湾,Tunu Sinus,79°12′N 299°48′W﻿ / ﻿79.2°N 299.8°W,克拉肯海,134.0,格陵兰图努峡湾
若狭湾,Wakasa Sinus,80°42′N 270°00′W﻿ / ﻿80.7°N 270°W,丽姬亚海,146.0,日本若狭湾
沃尔维斯湾,Walvis Sinus,58°12′N 324°06′W﻿ / ﻿58.2°N 324.1°W,克拉肯海,253.0,纳米比亚沃尔维斯湾
