中文名,英文名,坐标,所在海洋,名称来源
百慕大,Bermoothes Insula,67°06′N 317°06′W﻿ / ﻿67.1°N 317.1°W,克拉肯海,百慕大，莎士比亚《暴风雨》中被施加了法术的岛。
比米尼岛,Bimini Insula,73°18′N 305°24′W﻿ / ﻿73.3°N 305.4°W,克拉肯海,比米尼岛，阿拉瓦克人传说中有青春泉的岛屿。
巴拉尔库岛,Bralgu Insula,76°12′N 251°30′W﻿ / ﻿76.2°N 251.5°W,丽姬亚海,巴拉尔库是雍古族文化中的死亡岛及三位创世兄妹的出生地—詹格武尔。
布扬岛,Buyan Insula,77°18′N 245°06′W﻿ / ﻿77.3°N 245.1°W,丽姬亚海,布扬岛，俄罗斯民间传说中位于波罗的海南岸的一座岩石岛屿。
哈瓦基岛,Hawaiki Insulae,84°19′N 327°04′W﻿ / ﻿84.32°N 327.07°W,蓬加海,哈瓦基岛，当地神话中波利尼西亚人的故乡。
胡法伊德岛,Hufaidh Insulae,67°00′N 320°18′W﻿ / ﻿67°N 320.3°W,克拉肯海,胡法伊德，伊拉克南部沼泽中的传奇岛屿。
克罗西利岛,Krocylea Insulae,69°06′N 302°24′W﻿ / ﻿69.1°N 302.4°W,克拉肯海,克罗西利，希腊神话里伊奥尼亚海中靠近伊薩基島的岛屿。
梅达岛,Mayda Insula,79°06′N 312°12′W﻿ / ﻿79.1°N 312.2°W,克拉肯海,梅达岛，传说中大西洋东北的小岛
淡路岛,Onogoro Insula,83°17′N 311°42′W﻿ / ﻿83.28°N 311.7°W,蓬加海,淡路岛，日本神话中的岛屿。
蓬莱岛,Penglai Insula,72°12′N 308°42′W﻿ / ﻿72.2°N 308.7°W,克拉肯海,蓬莱仙境，中国神话中神仙居住的海上神山。
叙姆普勒加得斯岛,Planctae Insulae,77°30′N 251°18′W﻿ / ﻿77.5°N 251.3°W,丽姬亚海,叙姆普勒加得斯，博斯普鲁斯海峡中的“撞岩”，据说只有阿尔戈号成功地绕过了该磐岩。
罗伊洛岛,Royllo Insula,38°18′N 297°12′W﻿ / ﻿38.3°N 297.2°W,克拉肯海,罗伊洛，位于大西洋中的传奇岛屿，靠近安提利亚和圣布兰丹，接近未知的边缘。
