Pos.,Berg,Höhe,Gebirge,Dominanz,Nächsthöherer Berg
1.0,Mount Everest,8848 m,Himalaya,,
2.0,Aconcagua,6961 m,Anden,16.518 km,Tirich Mir
3.0,Denali,6190 m,Alaskakette,07.450 km,Yanamax
4.0,Kibo,5895 m,Kilimandscharo-Massiv,05.510 km,Kuh-e Shashgal
5.0,Carstensz-Pyramide,4884 m,Maokegebirge,05.235 km,Yulong Xueshan
6.0,Mount Vinson,4892 m,Ellsworthgebirge,04.911 km,Risco Plateado
7.0,Mont Orohena,2241 m,,04.128 km,Ngauruhoe
8.0,Mauna Kea,4205 m,,03.947 km,Mount Shasta
9.0,Gunnbjørn Fjeld,3694 m,Watkins-Gebirge,03.255 km,Mittelhorn
10.0,Aoraki/Mount Cook,3724 m,Neuseeländische Alpen,03.139 km,Mount Adam
