排 名,山 峰,高 度 (8000 公尺 以下)[7],高 度 (英呎）,山 脈,地 區[8],位 置[9],突起 地形 (公尺)[10],主 峰[11],首次 登峰,登峰 次數[12]（嘗試）
15.0,格重康峰,7952,26089,馬哈蘭格·喜瑪爾 喜馬拉雅,尼泊爾／中国,28°05′52″N 86°44′47″E﻿ / ﻿28.09778°N 86.74639°E,700,卓奧友峰,1964,5（3）
,加舒爾布魯木III峰,7946,26070,巴爾托洛慕士塔格山 喀喇昆仑,巴基斯坦／中国,35°45′34″N 76°38′31″E﻿ / ﻿35.75944°N 76.64194°E,355,加舒爾布魯木II峰,1975,2（2）
16.0,安納布爾納II峰,7937,26040,安納布爾納山塊喜馬拉雅,尼泊爾,28°32′03″N 84°07′20″E﻿ / ﻿28.53417°N 84.12222°E,2437,安納布爾納峰,1960,6（19）
17.0,加舒爾布魯木IV峰,7932,26024,巴爾托洛慕士塔格山 喀喇昆仑,巴基斯坦,35°45′33″N 76°36′57″E﻿ / ﻿35.75917°N 76.61583°E,715,加舒爾布魯木III峰,1958,4（11）
18.0,喜馬爾佐利山,7893,25896,馬拉斯鹿喜馬拉雅,尼泊爾,28°26′07″N 84°38′24″E﻿ / ﻿28.43528°N 84.64000°E,1633,马纳斯卢峰,1960,6（12）
19.0,迪斯特吉峰,7884,25866,希斯帕慕士塔格山脉 喀喇昆仑,巴基斯坦,36°19′33″N 75°11′18″E﻿ / ﻿36.32583°N 75.18833°E,2525,喬戈里峰,1960,3（5）
20.0,雅迪楚里峰,7871,25823,馬拉斯鹿喜馬拉雅,尼泊爾,28°30′12″N 84°34′03″E﻿ / ﻿28.50333°N 84.56750°E,1020,马纳斯卢峰,1970,2（6）
,努子峰,7864,25801,馬哈蘭格·喜瑪爾 喜馬拉雅,尼泊爾,27°58′02″N 86°53′10″E﻿ / ﻿27.96722°N 86.88611°E,319,洛子峰,1961,5（12）
21.0,昆揚基什峰,7823,25666,希斯帕慕士塔格山脉 喀喇昆仑,巴基斯坦,36°12′19″N 75°12′28″E﻿ / ﻿36.20528°N 75.20778°E,1765,迪斯特吉峰,1971,2（6）
22.0,瑪夏布洛姆峰,7821,25659,瑪夏布洛姆 喀喇昆仑,巴基斯坦,35°38′28″N 76°18′21″E﻿ / ﻿35.64111°N 76.30583°E,2457,加舒爾布魯木I峰,1960,4（9）
23.0,楠達德維山,7816,25643,Kumaon 喜馬拉雅,印度,30°22′36″N 79°58′15″E﻿ / ﻿30.37667°N 79.97083°E,3139,道拉吉里峰,1936,14（12）
24.0,珠穆隆索峰,7804,25604,馬哈蘭格·喜瑪爾 喜馬拉雅,中国,27°55′48″N 87°06′29″E﻿ / ﻿27.93000°N 87.10806°E,590,馬卡魯峰,1954,3（1）
25.0,巴托拉峰,7795,25574,巴托拉慕士塔格山 喀喇昆仑,巴基斯坦,36°30′36″N 74°31′27″E﻿ / ﻿36.51000°N 74.52417°E,3118,迪斯特吉峰,1976,4（6）
26.0,拉卡波希峰,7788,25551,Rakaposhi-Haramosh 喀喇昆仑,巴基斯坦,36°08′33″N 74°29′21″E﻿ / ﻿36.14250°N 74.48917°E,2818,昆揚基什峰,1958,8（13）
27.0,南迦巴瓦峰,7782,25531,Assam 喜馬拉雅,中国,29°37′50″N 95°03′19″E﻿ / ﻿29.63056°N 95.05528°E,4106,干城章嘉峰,1992,1（2）
28.0,坎巨提峰,7760,25460,希斯帕慕士塔格山脉 喀喇昆仑,巴基斯坦,36°12′18″N 75°25′04″E﻿ / ﻿36.20500°N 75.41778°E,1690,昆揚基什峰,1959,2（1）
29.0,卡美特山,7756,25446,Garhwal 喜馬拉雅,印度,30°55′12″N 79°35′30″E﻿ / ﻿30.92000°N 79.59167°E,2825,楠達德維山,1931,23（14）
30.0,道拉吉里II峰,7751,25430,道拉吉里峰喜馬拉雅,尼泊爾,28°45′46″N 83°23′14″E﻿ / ﻿28.76278°N 83.38722°E,2396,道拉吉里I峰（英语：Dhaulagiri I）,1971,4（11）
31.0,薩爾托洛崗日峰,7742,25400,薩爾托洛山脈 喀喇昆仑,印度／巴基斯坦,35°23′57″N 76°50′51″E﻿ / ﻿35.39917°N 76.84750°E,2160,加舒爾布魯木I峰,1962,2（1）
32.0,賈奴峰,7711,25299,干城章嘉喜馬拉雅,尼泊爾,27°40′54″N 88°02′36″E﻿ / ﻿27.68167°N 88.04333°E,1036,干城章嘉峰,1962,17（12）
33.0,蒂里傑米爾峰,7708,25289,興都庫什,巴基斯坦,36°15′19″N 71°50′30″E﻿ / ﻿36.25528°N 71.84167°E,3910,巴托拉峰,1950,20（11）
,摩拉门青峰,7703,25272,Langtang 喜馬拉雅,中国,28°21′17″N 85°48′39″E﻿ / ﻿28.35472°N 85.81083°E,430,希夏邦馬峰,1981,1（0）
34.0,纳木那尼峰,7694,25243,Nalakankar 喜馬拉雅,中国,30°26′17″N 81°17′53″E﻿ / ﻿30.43806°N 81.29806°E,2788,道拉吉里峰,1985,6（4）
35.0,莎瑟峰 I,7672,25171,莎瑟慕士塔格山 喀喇昆仑,印度,34°52′00″N 77°45′09″E﻿ / ﻿34.86667°N 77.75250°E,2304,加舒爾布魯木I峰,1973,6（4）
36.0,喬戈里薩峰,7665,25148,瑪夏布洛姆 喀喇昆仑,巴基斯坦,35°36′42″N 76°34′18″E﻿ / ﻿35.61167°N 76.57167°E,1624,瑪夏布洛姆峰,1975,4（2）
,道拉吉里IV峰（英语：Dhaulagiri IV）,7661,25135,道拉吉里峰喜馬拉雅,尼泊爾,28°44′09″N 83°18′55″E﻿ / ﻿28.73583°N 83.31528°E,469,道拉吉里II峰,1975,2（10）
37.0,公格尔峰,7649,25095,公格尔山昆仑山脉,中国,38°35′36″N 75°18′48″E﻿ / ﻿38.59333°N 75.31333°E,3585,迪斯特吉峰,1981,2（4）
,道拉吉里V峰（英语：Dhaulagiri V）,7618,24993,道拉吉里峰喜馬拉雅,尼泊爾,28°44′02″N 83°21′41″E﻿ / ﻿28.73389°N 83.36139°E,340,道拉吉里IV峰（英语：Dhaulagiri IV）,1975,2（3）
38.0,喜士帕爾峰,7611,24970,巴托拉慕士塔格山 喀喇昆仑,巴基斯坦,36°26′26″N 74°40′51″E﻿ / ﻿36.44056°N 74.68083°E,1240,巴托拉峰,1974,3（1）
39.0,Trvior（英语：Trvior）,7577,24859,庫拉岡日峰 喀喇昆仑,巴基斯坦,36°17′15″N 75°05′10″E﻿ / ﻿36.28750°N 75.08611°E,980,迪斯特吉峰,1960,2（5）
40.0,冈嘎本孙峰,7570,24836,庫拉岡日峰 喜馬拉雅,不丹／中国,28°02′48″N 90°27′21″E﻿ / ﻿28.04667°N 90.45583°E,2995,干城章嘉峰,unclimbed,0（3）
41.0,贡嘎山,7556,24790,大雪山,中国,29°35′43″N 101°52′47″E﻿ / ﻿29.59528°N 101.87972°E,3642,贡嘎山,1932,6（7）
42.0,安納普那III峰（英语：Annapurna III）,7555,24787,安納布爾納山塊喜馬拉雅,尼泊爾,28°35′05″N 83°59′28″E﻿ / ﻿28.58472°N 83.99111°E,703,安納普那I峰（英语：Annapurna I）,1961,10（17）
43.0,斯坎格里峰,7545,24754,巴爾托洛慕士塔格山 喀喇昆仑,巴基斯坦／中国,35°55′35″N 76°34′03″E﻿ / ﻿35.92639°N 76.56750°E,1085,喬戈里峰,1976,1（2）
44.0,章子峰,7543,24747,馬哈蘭格·喜瑪爾 喜馬拉雅,中国,28°01′29″N 86°54′31″E﻿ / ﻿28.02472°N 86.90861°E,520,珠穆朗瑪峰,1982,9（9）
45.0,库拉岗日峰,7538,24731,Kula Kangri 喜馬拉雅,中国,28°13′34″N 90°36′54″E﻿ / ﻿28.22611°N 90.61500°E,1650,Gangkhar Puensum,1986,3（2）
46.0,公格尔九别峰,7530,24705,公格尔山昆仑山脉,中国,38°36′59″N 75°11′55″E﻿ / ﻿38.61639°N 75.19861°E,840,公格尔峰,1956,2（3）
47.0,瑪莫斯通崗日峰,7516,24659,Rimo 喀喇昆仑,印度,35°08′27″N 77°34′39″E﻿ / ﻿35.14083°N 77.57750°E,1803,加舒爾布魯木I峰,1984,5（0）
48.0,莎瑟峰 II,7513,24649,莎瑟慕士塔格山 喀喇昆仑,印度,34°48′15″N 77°48′18″E﻿ / ﻿34.80417°N 77.80500°E,1450,莎瑟峰 I,unclimbed,0 (0)[13]
49.0,慕士塔格峰,7509,24636,Muztagata昆仑山脉,中国,38°16′42″N 75°06′57″E﻿ / ﻿38.27833°N 75.11583°E,2735,公格尔峰,1956,many
50.0,伊斯梅爾索莫尼峰,7495,24590,帕米爾高原,塔吉克,38°56′32″N 72°00′57″E﻿ / ﻿38.94222°N 72.01583°E,3402,慕士塔格峰,1933,
51.0,莎瑟峰 III,7495,24590,莎瑟慕士塔格山 喀喇昆仑,印度,34°50′44″N 77°47′06″E﻿ / ﻿34.84556°N 77.78500°E,850,莎瑟峰 I,1986,1（0）
52.0,諾沙克峰,7492,24580,興都庫什山脈,阿富汗／巴基斯坦,36°26′00″N 71°49′40″E﻿ / ﻿36.43333°N 71.82778°E,2024,蒂里傑米爾峰,1960,33（3）
53.0,普馬里基什峰,7492,24580,希斯帕慕士塔格山脉 喀喇昆仑,巴基斯坦,36°12′40″N 75°15′10″E﻿ / ﻿36.21111°N 75.25278°E,890,昆揚基什峰,1979,1（2）
54.0,帕蘇峰,7476,24528,巴托拉慕士塔格山 喀喇昆仑,巴基斯坦,36°29′16″N 74°35′16″E﻿ / ﻿36.48778°N 74.58778°E,645,巴托拉峰,1994,1（0）
55.0,雅克辛嘎丹峰,7469,24505,希斯帕慕士塔格山脉 喀喇昆仑,巴基斯坦,36°15′00″N 75°22′30″E﻿ / ﻿36.25000°N 75.37500°E,1313,普馬里基什峰,1984,4（1）
56.0,特拉木坎力峰 I,7462,24482,Siachen 喀喇昆仑,印度／中国,35°34′48″N 77°04′42″E﻿ / ﻿35.58000°N 77.07833°E,1702,加舒爾布魯木I峰,1975,2（0）
57.0,琼桑峰,7462,24482,干城章加喜馬拉雅,尼泊爾／中国／印度,27°52′52″N 88°08′05″E﻿ / ﻿27.88111°N 88.13472°E,1298,干城章嘉峰,1930,2（3）
58.0,馬魯畢庭峰,7458,24469,Rakaposhi-Haramosh 喀喇昆仑,巴基斯坦,36°00′12″N 74°52′31″E﻿ / ﻿36.00333°N 74.87528°E,2193,拉卡波希峰,1971,2（6）
59.0,Gangapurna（德语：Gangapurna）,7455,24459,安納布爾納山塊喜馬拉雅,尼泊爾,28°36′17″N 83°57′51″E﻿ / ﻿28.60472°N 83.96417°E,563,安納普那三峰（英语：Annapurna III）,1965,8（13）
