Rang,Name,Staat(en),Fläche (km²),Länge (km),max. Tiefe (m),Volumen (km³),Höhe (üM) (m),Abfluss
1.0,Kaspisches Meer,"Aserbaidschan, Russland, Kasachstan, Turkmenistan, Iran",386.4,1.199,995.0,78.2,−28,abflusslos
2.0,Oberer See,"USA, Kanada",82.414,616.0,405.0,12.1,184,Saint Marys River
3.0,Victoriasee,"Kenia, Tansania, Uganda",68.894,322.0,84.0,2.75,1.135,Victoria-Nil
4.0,Huronsee,"USA, Kanada",59.596,397.0,229.0,3.54,176,St. Clair River
5.0,Michigansee,USA,58.016,517.0,282.0,4.918,176,Huronsee
6.0,Tanganjikasee,"Tansania, DR Kongo, Sambia, Burundi",32.893,676.0,1.47,18.9,782,Lukuga
7.0,Baikalsee,Russland,31.722,636.0,1.642,23.615,455,Angara
8.0,Großer Bärensee,Kanada,31.328,373.0,446.0,2.236,156,Großer Bärenfluss
9.0,Malawisee,"Malawi, Mosambik, Tansania",29.6,579.0,706.0,8.4,474,Shire
10.0,Großer Sklavensee,Kanada,28.568,480.0,614.0,2.09,156,Mackenzie River
11.0,Eriesee,"USA, Kanada",25.719,388.0,64.0,489.0,174,Niagara River
12.0,Winnipegsee,Kanada,24.387,425.0,18.0,283.0,218,Nelson River
13.0,Ontariosee,"USA, Kanada",19.477,311.0,244.0,1.639,75,Sankt-Lorenz-Strom
14.0,Ladogasee,Russland,17.7,219.0,230.0,908.0,4,Newa
15.0,Balchaschsee,Kasachstan,16.996,605.0,26.0,106.0,342,abflusslos
16.0,Wostoksee,Antarktis,15.69,250.0,1.0,5.4,−280,abflusslos
17.0,Onegasee,Russland,9.894,248.0,120.0,280.0,33,Swir
18.0,Titicacasee,"Bolivien, Peru",8.372,177.0,281.0,893.0,3.812,Río Desaguadero
19.0,Nicaraguasee,Nicaragua,8.264,177.0,26.0,108.0,31,Río San Juan
20.0,Athabascasee,Kanada,7.935,335.0,243.0,204.0,213,Slave River
21.0,Reindeer Lake,Kanada,6.65,245.0,337.0,179.0,337,Reindeer River
22.0,Turkanasee,"Kenia, Äthiopien",6.405,248.0,109.0,204.0,375,abflusslos
23.0,Yssykköl,Kirgisistan,6.236,182.0,668.0,1.738,1.607,abflusslos
24.0,Vänern,Schweden,5.648,140.0,106.0,153.0,44,Göta älv
25.0,Nettilling Lake,Kanada,5.542,123.0,132.0,,30,Koukdjuak River
26.0,Lake Winnipegosis,Kanada,5.374,245.0,18.0,,254,Waterhen River
27.0,Albertsee,"Uganda, DR Kongo",5.347,161.0,58.0,280.0,619,Albert-Nil
28.0,Urmiasee,Iran,5.18,130.0,16.0,,1.280,abflusslos
29.0,Mwerusee,"Sambia, DR Kongo",5.12,131.0,27.0,382.0,931,Luvua
30.0,Lake Nipigon,Kanada,4.848,,165.0,248.0,260,Nipigon River
31.0,Lake Manitoba,Kanada,4.624,200.0,7.0,141.0,247,Fairford River
32.0,Taimyrsee,Russland,4.56,250.0,26.0,128.0,6,Taimyra
33.0,Qinghaisee,Volksrepublik China,4.489,108.0,27.0,1196.0,3.194,abflusslos
34.0,Lake of the Woods,"Kanada, USA",4.39,120.0,64.0,,322,Winnipeg River
35.0,Saimaa,Finnland,4.377,,85.0,36.0,76,Vuoksi
36.0,Chankasee,"Russland, Volksrepublik China",4.07,80.0,106.0,183.0,68,Sungatscha
37.0,Lake Dubawnt,Kanada,3.833,,,,236,Dubawnt River
