Rang,Name,Staat(en),Fläche (km²),Länge (km),Max. Tiefe (m)
1.0,Tschadsee,Tschad-Kamerun-Nigeria-Niger,1.350 – 26.000,,105.0
2.0,Dong-Ting Hu,Volksrepublik China,2.820 – 20.000,,
3.0,Tonle Sap,Kambodscha,2.600 – 16.000,,14.0
4.0,Bangweulusee,Sambia,3.000 – 10.000,80.0,4.0
5.0,Mar Chiquita,Argentinien,1.960 – 10.000,,19.0
6.0,Great Salt Lake,USA,2.460 – 08.500,120.0,10.0
7.0,Mai-Ndombe-See,DR Kongo,2.300 – 08.200,,7.0
8.0,Rukwasee,Tansania,1.500 – 05.760,180.0,5.0
9.0,Sarykamyschsee,Tadschikistan-Usbekistan,0.800 – 05.000,89.0,40.0
10.0,Poyang Hu,Volksrepublik China,1.000 – 04.400,,
11.0,Ilmensee,Russland,0.733 – 02.090,,10.0
12.0,Tschanysee,Russland,1.400 – 02.000,,12.0
13.0,Hammarsee,Irak,0.175 – 01.950,,3.0
14.0,Lago Viedma,Argentinien,1.088 – 01.600,80.0,
15.0,Mweru-Wantipa-See,Sambia,0.000 – 01.500,65.0,5.0
16.0,Fitrisee,Tschad,0.420 – 01.200,23.0,
17.0,Natronsee,Tansania,0.600 – 01.040,0.0,2.0
