Name,Staat(en),Fläche (km²),Begründung
Huronsee-Michigansee,Vereinigte Staaten – Kanada,117.612,Streng genommen der zweitgrößte See der Erde. Wird aber üblicherweise als in seine zwei Teilseen getrennt betrachtet.
Maracaibosee,Venezuela,13.82,"Meeresbucht bzw. Binnenmeer, aber kein See (und auch keine Lagune)"
Lagoa dos Patos,Brasilien,10.145,Lagune
Lagoa Mirim,Brasilien – Uruguay,3.75,Lagune
Aydarsee,Usbekistan,3.6,"Künstlicher See; natürliche Senke, in die bei Hochwasser das Wasser des Amu Darja abgeleitet wird."
Bachtegansee,Iran,3.5,Wegen Dämmen mittlerweile völlig ausgetrocknet.
Lake Melville,Kanada,3.069,"Meeresbucht, kein See"
Sywasch,Ukraine,2.56,Lagunen- bzw. Buchtensystem
Thartarsee,Irak,2.5,"Künstlicher See; natürliche Senke, in die bei Hochwasser das Wasser des Tigris abgeleitet wird."
Vembanadsee,Indien,2.033,"Teil eines großen Feuchtgebiets, das manchmal als einzelner See betrachtet wird"
Razzazasee,Irak,1.85,"Künstlicher See; natürliche Senke, in die bei Hochwasser das Wasser des Euphrat abgeleitet wird."
Lake Pontchartrain,Vereinigte Staaten,1.631,Lagune
Kurisches Haff,Litauen – Russland,1.564,Haff (Brackwasserbereich)
Laguna de Términos,Mexiko,1.55,Lagune
Suur-Saimaa,Finnland,1.377,"Teil des Saimaa-Systems mehrerer, teilweise voneinander abgegrenzter Teilseen."
Manzalasee,Ägypten,1.36,Lagune
Wygosero,Russland,1.25,Erreicht seine heutige Größe durch Aufstauung. Ohne Aufstauung nur 776 km² groß.
Chilikasee,Indien,1.165,Lagune
Red Lake,Vereinigte Staaten,1.148,Gesamtfläche von Upper Red Lake und Lower Red Lake in Minnesota. Erreicht seine heutige Größe durch Aufstauung.
IJsselmeer,Niederlande,1.1,"Meeresbucht, durch mehrere Deiche vom offenen Meer und anderen Seen getrennt."
Bras d’Or Lake,Kanada,1.099,"Meeresbucht, kein See"
Selawik Lake,Vereinigte Staaten,1.046,"Meeresbucht, kein See"
