"Thumbnail, at fixed scale",Unnamed: 1,Name,Countries with shoreline,Type,Area,Length,Max. depth,Volume,Notes
,1,Michigan–Huron,Canada  United States,Fresh,"117,620 km2 45,410 sq mi[14]",710 km 440 mi,282 m 925 ft[14],"8,450 km3 2,030 cu mi[14]","Contains Manitoulin Island, the world's largest lake island.[17]"
,2,Superior,Canada  United States,Fresh,"82,100 km2 31,700 sq mi[14]",616 km 383 mi,"406 m 1,332 ft[14]","12,070 km3 2,900 cu mi[14]","Largest of the Great Lakes by volume, having more water than the other four combined.[15]"
,3,Victoria,Tanzania  Uganda  Kenya,Fresh,"59,940 km2 23,140 sq mi",322 km 200 mi,81 m 266 ft,"2,420 km3 580 cu mi",The largest lake by area in Africa.[16]
,4,Tanganyika,Tanzania Democratic Republic of the Congo Burundi Zambia,Fresh,"32,900 km2 12,700 sq mi",676 km 420 mi,"1,470 m 4,820 ft","18,750 km3 4,500 cu mi",Second-largest lake by volume and second longest.
,5,Baikal,Russia,Fresh,"31,722 km2 12,248 sq mi",636 km 395 mi,"1,642 m 5,387 ft","23,610 km3 5,660 cu mi",Deepest lake in the world and largest by volume.[19]
,6,Great Bear Lake,Canada,Fresh,"31,153 km2 12,028 sq mi",373 km 232 mi,"446 m 1,463 ft","2,234 km3 536 cu mi","Largest lake entirely within Canada,[29] and the largest lake partially within the Arctic Circle"
,7,Malawi,Malawi  Mozambique  Tanzania,Fresh,"29,500 km2 11,400 sq mi",579 km 360 mi,"706 m 2,316 ft","8,640 km3 2,070 cu mi",Has more species of fish than any other lake in the world.[21]
,8,Great Slave Lake,Canada,Fresh,"27,200 km2 10,500 sq mi",480 km 300 mi,"614 m 2,014 ft","1,115 km3 268 cu mi",Deepest lake in North America[22]
,9,Erie,Canada  United States,Fresh,"25,667 km2 9,910 sq mi[14]",388 km 241 mi,64 m 210 ft[14],488 km3 117 cu mi[14],Has the smallest volume of the Great Lakes.
,10,Winnipeg,Canada,Fresh,"24,514 km2 9,465 sq mi",425 km 264 mi,36 m 118 ft,294 km3 71 cu mi,Very large catchment area compared to own size. No other great lake has that ratio.
,11,Ontario,Canada  United States,Fresh,"18,970 km2 7,320 sq mi[14]",311 km 193 mi,244 m 801 ft[14],"1,631 km3 391 cu mi[14]",The lowest lying of the Great Lakes.
,12,Ladoga,Russia,Fresh,"17,700 km2 6,800 sq mi",219 km 136 mi,260 m 850 ft,837 km3 201 cu mi,Largest lake in Europe.[23]
