Unnamed: 0,Nimi,Asukoht,Pindala km²,Pikkus km,Suurim sügavus m,Vee hulk km³
1.0,Kaspia meri[1],"Aserbaidžaan, Venemaa, Kasahstan, Türkmenistan, Iraan",371 000,1199.0,1025.0,78 200
2.0,Ülemjärv,"Kanada, USA",82 414,616.0,406.0,12 100
3.0,Victoria järv,"Keenia, Tansaania, Uganda",69 485,322.0,84.0,2750
4.0,Huroni järv,"Kanada, USA",59 570,332.0,222.0,3540
5.0,Michigani järv,USA,58 016,494.0,282.0,4918
6.0,Tanganjika järv,"Tansaania, Kongo DV, Burundi, Sambia",32 893,676.0,1470.0,18 900
7.0,Baikali järv[2],Venemaa,31 500,636.0,1637.0,23 600
8.0,Suur Karujärv,Kanada,31 080,373.0,446.0,2236
9.0,Njassa järv,"Malawi, Mosambiik, Tansaania",30 044,579.0,706.0,8400
10.0,Suur Orjajärv,Kanada,28 930,480.0,614.0,2090
11.0,Erie järv,"Kanada, USA",25 719,388.0,64.0,489
12.0,Winnipegi järv,Kanada,23 553,425.0,36.0,283
13.0,Ontario järv,"Kanada, USA",19 477,311.0,244.0,1639
14.0,Balkaši järv,Kasahstan,18 428,605.0,26.0,106
15.0,Laadoga järv,Venemaa,18 130,219.0,230.0,908
16.0,Maracaibo järv,Venezuela,13 300,,,
,Tônlé Sab,Kambodža,10 000[3],,,
17.0,Äänisjärv,Venemaa,9891,248.0,120.0,280
18.0,Titicaca järv,"Boliivia, Peruu",8135,177.0,281.0,893
19.0,Nicaragua järv,Nicaragua,8001,177.0,26.0,
20.0,Athabasca järv,Kanada,7920,335.0,243.0,204
21.0,Turkana järv,Keenia,6405,248.0,109.0,204
22.0,Põdrajärv,Kanada,6330,245.0,337.0,
,Eyre'i järv,Austraalia,6216[4],209.0,,
23.0,Õsõk-Köli järv,Kõrgõzstan,6200,182.0,668.0,1738
24.0,Urmia järv,Iraan,6001,130.0,16.0,
25.0,Dongtingi järv,Hiina,6000[5],,,
26.0,Torrensi järv,Austraalia,5745,250.0,,
27.0,Vänerni järv,Rootsi,5545,140.0,106.0,153
28.0,Winnipegosise järv,Kanada,5403,245.0,,
29.0,Alberti järv,"Uganda, Kongo DV",5299,161.0,58.0,280
30.0,Nettillingi järv,Baffini saarel Kanadas,5051,113.0,,
31.0,Nipigoni järv,Kanada,4843,116.0,165.0,
32.0,Manitoba järv,Kanada,4706,225.0,,
33.0,Suur Soolajärv,USA,4662,121.0,,
34.0,Taimõri järv,Venemaa,4560,,26.0,
35.0,Lake of the Woods,"Kanada, USA",4350,110.0,49.0,
36.0,Hanka järv,"Venemaa, Hiina",4190,,106.0,
37.0,Vani järv,Türgi,3755,119.0,451.0,607
38.0,Dubawnti järv,Kanada,3629,,,
39.0,Peipsi-Pihkva järv[6],"Eesti, Venemaa",3555,140.0,153.0,25
