Unnamed: 0,名称,沿岸国家,面积,长度,最大深度,蓄水量,缩略图（所有湖泊同等比例）,备注
1,里海*,哈萨克斯坦  俄羅斯  土库曼斯坦  阿塞拜疆  伊朗,"371,000 km2（143,000 sq mi）","1,199 km（745 mi）","1,025米（3,363英尺）","78,200 km3（18,800 cu mi）",,有时被看做是海洋[6][7]
2[n 1],苏必利尔湖,加拿大  美国,"82,414 km2（31,820 sq mi）[8]",616 km（383 mi）[8],"406米（1,332英尺）[8]","12,100 km3（2,900 cu mi）[8]",,[n 1]
3,维多利亚湖,乌干达  肯尼亚  坦桑尼亚,"69,485 km2（26,828 sq mi）",322 km（200 mi）,84米（276英尺）,"2,750 km3（660 cu mi）",,非洲最大湖泊
4,休伦湖[n 1],加拿大  美国,"59,600 km2（23,000 sq mi）[8]",332 km（206 mi）[8],229米（751英尺）[8],"3,540 km3（850 cu mi）[8]",,
5,密歇根湖[n 1],美国,"58,000 km2（22,000 sq mi）[8]",494 km（307 mi）[8],281米（922英尺）[8],"4,900 km3（1,200 cu mi）[8]",,
6,坦噶尼喀湖,布隆迪  坦桑尼亚  尚比亞  刚果民主共和国,"32,893 km2（12,700 sq mi）",676 km（420 mi）,"1,470米（4,820英尺）","18,900 km3（4,500 cu mi）",,世界上第二深水湖泊，也是世界上最长的湖泊
7,贝加尔湖,俄羅斯,"31,500 km2（12,200 sq mi）",636 km（395 mi）,"1,637米（5,371英尺）","23,600 km3（5,700 cu mi）",,世界上最深和蓄水量最大的湖泊
8,大熊湖,加拿大,"31,080 km2（12,000 sq mi）",373 km（232 mi）,"446米（1,463英尺）","2,236 km3（536 cu mi）",,加拿大最大湖泊
9,马拉维湖,坦桑尼亚  莫桑比克  马拉维,"30,044 km2（11,600 sq mi）",579 km（360 mi）,"706米（2,316英尺）","8,400 km3（2,000 cu mi）",,非洲第二深水湖泊，世界上拥有最多种类鱼的湖泊
10,大奴湖,加拿大,"28,930 km2（11,170 sq mi）",480 km（300 mi）,"614米（2,014英尺）","2,090 km3（500 cu mi）",,北美洲最深的湖泊
11,伊利湖,加拿大  美国,"25,719 km2（9,930 sq mi）[8]",388 km（241 mi）[8],64米（210英尺）[8],489 km3（117 cu mi）[8],,
12,温尼伯湖,加拿大,"23,553 km2（9,094 sq mi）",425 km（264 mi）,36米（118英尺）,283 km3（68 cu mi）,,
