[1],[2],Name,alternative Namen,Staat(en),Fläche [km²],Volu­men [km³],Tiefe [m],Tiefe [m],Anmerkungen / Fluss
[1],[2],Name,alternative Namen,Staat(en),Fläche [km²],Volu­men [km³],max.,mittl.,Anmerkungen / Fluss
1,O01,Ladogasee,"Ладожское озеро, Laatokka",Russland,17700,908,230,51,Vierzehntgrößter der Erde
2,O02,Onegasee,"Onego, Онежское озеро, Ääninen, Äänisjärvi",Russland,9720,292,120,30,Achtzehntgrößter der Erde
3,,Kuibyschewer Stausee,"Kuibyschewskoje Reservoir, Ку́йбышевское водохрани́лище",Russland,6450,573,34,8,Drittgrößter Stausee der Erde; Wolga
4,N01,Vänern,,Schweden,5519,153,106,27,Größter in Schweden und in der EU
5,,Rybinsker Stausee,"Rybinskoje Reservoir, Ры́бинское водохрани́лище",Russland,4580,254,28,56,Wolga
,N02,Saimaa,Saimen,Finnland,4370,36,82,17,Größter in Finnland; Gruppe von kleineren Teilseen
6,O03,Peipussee,"Peipsi-Pihkva järv, Чудско-Псковское озеро, Peipusa ezers","Estland, Russland",3555,25,153,71,Größter in Estland
7,,Zimljansker Stausee,"Zimljanskoje Reservoir, Цимля́нское водохрани́лище",Russland,2700,239,35,89,Don
8,,Krementschuker Stausee,Кременчуцьке водосховище,Ukraine,2252,135,28,6,Größter der Ukraine; Dnepr
9,,Kachowkaer Stausee,Каховське водосховище,Ukraine,2155,182,26,84,Dnepr
10,N03,Vättern,,Schweden,1886,735,120,395,
11,,Saratower Stausee,Саратовское водохрани́лище,Russland,1831,129,,7,Wolga
12,,Gorkier Stausee,Горьковское водохрани́лище,Russland,1590,871,22,55,Wolga
13,,Etelä-Saimaa,,Finnland,1377,148,858,108,Größter Im Saimaa-Seensystem
14,O12,Wygosero,"Выгозеро, Uikujärvi",Russland,1143,65,18,57,Ursprüngliche Fläche vor dem Bau des Damms: 560 km²
15,W01,IJsselmeer,Lake Yssel,Niederlande,1137,53,55,46,"Größter der Niederlande, künstlich durch den Abschlussdeich geschaffen"
16,O04,Weißer See,Белое озеро,Russland,1130,62,34,55,Nach anderen Angaben 1290 km²
17,N04,Päijänne,,Finnland,1118,181,953,162,Tiefster in Finnland
18,N05,Mälaren,,Schweden,1090,143,66,128,
19,N06,Inarijärvi,"Inarijärvi, Enare träsk, Anárjávri, Aanaarjävri",Finnland,1084,155,92,143,
20,,Kiewer Meer,Київське водосховище,Ukraine,992,373,8,38,Dnepr
21,O05,Toposero,"Топозеро, Tuoppajärvi",Russland,986,149,56,152,
22,O06,Ilmensee,"Ильмень, Ilmajärvi",Russland,982,var.,var.,var.,Größe stark schwankend (733–2090 km²)
23,O07,Segosero,"Сегозеро, Seesjärvi",Russland,906,234,103,26,
24,N07,Pielinen,,Finnland,894,90,61,101,
25,N08,Oulujärvi,Ule träsk,Finnland,887,67,35,76,
26,O08,Imandra,"Имандра, Imantero, Avvir",Russland,876,112,67,128,
27,,Werchnetulomskoje,Верхнетуломское водохранилище,Russland,745,115,,154,"Ursprüngliche Fläche des Notosero-Sees: 78,9 km²; Tuloma"
28,,Pihlajavesi,,Finnland,713,807,72,113,Im Saimaa-Seensystem
29,W02,Markermeer,,Niederlande,700,21,5,3,Künstlich; durch den Markerwaarddijk vom IJsselmeer abgetrennt
30,,Kaniwer Stausee,Канівське водосховище,Ukraine,675,262,19,39,Dnepr
31,O09,Pjaosero,"Пяозеро, Pääjärvi",Russland,659,101,49,154,
32,O10,Kowdosero,Ковдозеро,Russland,608,37,56,61,
33,,Orivesi,,Finnland,601,551,74,92,Im Saimaa-Seensystem
34,O11,Plattensee,Balaton,Ungarn,592,19,125,33,Größter in Mitteleuropa und in Ungarn
35,W03,Genfersee,"Lac Léman, Lac de Genève","Schweiz, Frankreich",580,89,310,153,"Zweitgrößter in Mitteleuropa, größter der Schweiz und Frankreichs"
36,,Kamjansker Stausee,Кам'янське водосховище,Ukraine,567,245,15,43,Dnepr
37,,Haukivesi,,Finnland,562,511,55,91,Im Saimaa-Seensystem
,,Bodensee (Obersee + Untersee),Lac de Constance,"Deutschland, Schweiz, Österreich",536,484,251,90,2 hydrologisch eigenständige Seen
38,N09,Keitele,,Finnland,498,343,66,69,
39,N10,Kallavesi,,Finnland,478,461,75,96,
40,N11,Hjälmaren,,Schweden,477,301,20,62,
41,W04,Obersee (Bodensee),Lac de Constance,"Deutschland, Schweiz, Österreich",473,476,251,101,"Drittgrößter in Mitteleuropa, größter in Deutschland"
42,N12,Storsjön,,Schweden,456,802,74,174,
43,O13,Umbosero,Умбозеро,Russland,422,63,115,15,
44,,Puruvesi,,Finnland,416,365,61,88,Im Saimaa-Seensystem
45,O14,Wosche,,Russland,416,108,5,26,
46,O15,Kubenasee,Кубенское озеро,Russland,407,10,5,25,
47,N13,Lough Neagh,Loch nEathach,Vereinigtes Königreich,396,36,25,9,Größter der britischen Inseln
48,,Scheksninskoje,Шекснинское озеро,Russland,380,,,,
49,S01,Skutarisee,"Skadar Lake, Skadarsko jezero, Скадарско језеро, Liqeni i Shkodrës","Albanien, Montenegro",370–530,var.,var.,var.,Größter der Balkanhalbinsel; Größe stark schwankend
50,S02,Gardasee,Lago di Garda,Italien,370,493,346,133,Größter in Italien
51,N14,Mjøsa,,Norwegen,365,5624,449,154,Größter in Norwegen
52,,Pyhäselkä,,Finnland,361,316,67,88,Im Saimaa-Seensystem
