Rank,Name,Native names,Country,Average area,Average area,Notes
Rank,Name,Native names,Country,km2,mi2,Notes
1.0,Ladoga,"Ла́дожское о́зеро, Laatokka",Russia,17700,6800,14th largest lake in the world
2.0,Onega,"Onego, Онежское озеро, Ääninen, Äänisjärvi",Russia,9894,3820,18th largest lake in the world
,Kuybyshev,Ку́йбышевское водохрани́лище (Kuybyshevskoye Reservoir),Russia,6450,2490,3rd largest reservoir in the world
3.0,Vänern,,Sweden,5655,2183,Largest lake in Sweden and the European Union.[1][2]
,Rybinsk,Ры́бинское водохрани́лище (Rybinskoye Reservoir),Russia,4580,1770,
4.0,Saimaa,,Finland,4377,1690,Largest lake in Finland; a group of smaller lake basins
5.0,Peipus,"Peipsi-Pihkva järv, Чудско-Псковское озеро, Peipusa ezers",Estonia/ Russia,3555,1373,Largest lake in Estonia
,Tsimlyansk,Цимля́нское водохрани́лище (Tsimlyanskoye Reservoir),Russia,2702,1043,
,Kremenchuk,Кременчуцьке водосховище,Ukraine,2250,870,
,Kakhovka,Каховське водосховище,Ukraine,2155,832,
6.0,Vättern,,Sweden,1893,731,Includes permanently settled offshore island of Visingsö
,Saratov,Саратовское водохрани́лище,Russia,1831,707,
,Gorky,Горьковское водохрани́лище,Russia,1591,614,
,Suur-Saimaa,,Finland,1377,532,Largest basin of Saimaa
7.0,Beloye,Белое озеро,Russia,1290,500,
8.0,Vygozero,"Выгозеро, Uikujärvi",Russia,1250,480,Original area 766 km2 before the construction of a dam
9.0,Mälaren,,Sweden,1140,440,
10.0,IJsselmeer,,Netherlands,1100,420,Closed off sea inlet. Largest lake in the Netherlands
,Nizhnekamsk,Нижнека́мское водохрани́лище,Russia,1084,419,
11.0,Päijänne,,Finland,1081,417,Deepest lake in Finland
12.0,Inari,"Inarijärvi, Enare träsk, Anárjávri, Aanaarjävri, Aanarjäuˊrr",Finland,1040,400,Largest lake in Lapland; Finland's northernmost large lake
13.0,Kyiv,Київське водосховище,Ukraine,992,383,
14.0,Topozero,"Топозеро, Tuoppajärvi",Russia,986,381,
15.0,Ilmen,Ильмень,Russia,982,379,"(733–2,090 km2 (283–807 sq mi))"
16.0,Segozero,"Сегозеро, Seesjärvi",Russia,906,350,
17.0,Pielinen,,Finland,894,345,
18.0,Oulujärvi,Ule träsk,Finland,887,342,
19.0,Imandra,"Имандра, Imantero, Âʹvverjäuʹrr",Russia,876,338,
,Pihlajavesi,,Finland,713,275,Part of Saimaa
,Pihkva,,Estonia/ Russia,710,270,Part of Peipus
20.0,Markermeer,,Netherlands,700,270,Previously (before 1975) part of the IJsselmeer
,Kaniv,Канівське водосховище,Ukraine,675,261,
21.0,Pyaozero,"Пяозеро, Pääjärvi",Russia,659,254,
22.0,Kovdozero,"Ковдозеро, Koutajärvi",Russia,608,235,
,Mingachevir,,Azerbaijan,605,234,
,Orivesi,,Finland,601,232,Part of Saimaa
23.0,Balaton,,Hungary,592,229,Largest lake in Central Europe
24.0,Geneva,"Lac Léman, Lago Lemano, Genfersee, Lai da Genevra",France/ Switzerland,581,224,"Largest lake in Switzerland and France, largest lake in the Alps"
,Kamianske,Кам'янське водосховище,Ukraine,567,219,
,Haukivesi,,Finland,562,217,Part of Saimaa
25.0,Constance,Bodensee,Germany/ Switzerland/ Austria,541,209,Largest lake in Germany and Austria
26.0,Keitele,,Finland,494,191,
27.0,Hjälmaren,,Sweden,485,187,
28.0,Kallavesi,,Finland,473,183,
29.0,Skadar,"Liqeni i Shkodrës, Skadarsko jezero",Albania / Montenegro,472,182[3],Largest lake in Southern Europe
30.0,Storsjön,,Sweden,464,179,
,Puruvesi,,Finland,421,163,Part of Saimaa
31.0,Vozhe,,Russia,416,161,
32.0,Razim,,Romania,415,160,Largest lake in Romania
33.0,Kubenskoye,Кубенское озеро,Russia,407,157,
34.0,Lough Neagh,"Loch nEathach, Loch Neagh",Northern Ireland ( United Kingdom),383,148,"Largest lake in United Kingdom, largest lake on the island of Ireland"
35.0,Sheksninskoye,,Russia,380,150,
36.0,Garda,Lago di Garda,Italy,370,140,Largest lake in Italy
37.0,Mjøsa,,Norway,365,141,Largest lake in Norway
,Pyhäselkä,,Finland,361,139,Part of Saimaa
38.0,Ohrid,"Охридско Езеро (Ohridsko Ezero), Liqeni i Ohrit",North Macedonia/ Albania,358,138,Largest lake in North Macedonia
39.0,Lacha,"Ла́ча, Ла́че",Russia,356,137,
40.0,Siljan,,Sweden,354,137,Group of lakes located in an impact crater
41.0,Manych-Gudilo,Маныч-Гудило,Russia,344,133,
42.0,Puula,,Finland,330,130,
42.0,Torneträsk,"Duortnosjávri, Torniojärvi",Sweden,330,130,
,Ivankovo,Ива́ньковское водохрани́лище,Russia,327,126,
44.0,Vodlozero,"Водлозеро, Vodlajärvi",Russia,322,124,
,Lokka,Lokan tekojärvi,Finland,315,122,Largest reservoir in Finland
45.0,Umbozero,"Умбозеро, Umbajärvi",Russia,313–422,121–163,
46.0,Neusiedl,"Neusiedlersee, Fertő tó",Austria/ Hungary,315,122,
47.0,Höytiäinen,,Finland,282,109,
48.0,Great Prespa,"Преспанското Езеро, Μεγάλη Πρέσπα, Liqeni i Prespës",Albania/ Greece/ North Macedonia,273,105,
49.0,Võrtsjärv,Wirzsee,Estonia,270,100,
50.0,Syamozero,"Сямозеро, Säämäjärvi, Seämärvi",Russia,265–270,102–104,
51.0,Akkajaure,,Sweden,261,101,"Usually very much smaller, now heavily regulated for a Hydroelectric power plant."
,Iron Gates I,Đerdapsko jezero,Romania / Serbia,260,100,Lake impounded by the Iron Gates I dam on the River Danube[4]
52.0,Middle Kuyto,"Среднее Куйто, Keski-Kuittijärvi",Russia,257,99,
53.0,Näsijärvi,,Finland,256,99,
,Đerdap,,Serbia,253,98,
54.0,Hornavan,,Sweden,252,97,(220–283 km2 (85–109 sq mi))
,Alqueva,Barragem de Alqueva,Portugal/ Spain,250,97,Largest lake in Portugal
,Uglich,У́гличское водохрани́лище,Russia,249,96,
55.0,Yli-Kitka,,Finland,237,92,
56.0,Suvasvesi,,Finland,234,90,Double impact crater
57.0,Tikshozero,"Тикшозеро, Tiiksjärvi",Russia,232,90,
58.0,Kemijärvi,,Finland,231,89,
59.0,Keret,"Кереть, Kierettijärvi",Russia,223,86,
60.0,Juojärvi,,Finland,220,85,
61.0,Røssvatnet,Reevhtse,Norway,219,85,
62.0,Neuchâtel,Lac de Neuchâtel,Switzerland,218,84,Largest lake entirely in Switzerland
63.0,Nyuk,"Нюк, Nuokkijärvi",Russia,214–230,83–89,
64.0,Maggiore,Lago Maggiore,Italy/ Switzerland,212,82,
64.0,Seliger,Селигер,Russia,212,82,
66.0,Uddjaure,,Sweden,210,81,(190–250 km2 (73–97 sq mi))
67.0,Pyhäjärvi,Пюхяярви,Finland/ Russia,207,80,In Karelia
68.0,Femund,,Norway,204,79,
68.0,Yanisyarvi,"Янисъярви, Jänisjärvi",Russia,204,79,Located in an impact crater
70.0,Lough Corrib,Loch Coirib,Ireland,200,77,Largest lake in the Republic of Ireland
70.0,Lovozero,"Ловозеро, Луяввьр, Luujäuˊrr, Lujávri, Luujärvi",Russia,200,77,
72.0,Upper Kuyto,"Верхнее Куйто, Ylä-Kuittijärvi",Russia,198,76,
,Enonvesi,,Finland,197,76,Part of Saimaa
,Narva,Narva veehoidla,Estonia / Russia,191,74,Largest reservoir in Estonia
73.0,Kiantajärvi,,Finland,191,74,
74.0,Konnevesi,,Finland,189,73,
75.0,Bolmen,,Sweden,184,71,
76.0,Ströms vattudal,,Sweden,183,71,
77.0,Ondozero,Ontajärvi,Russia,182,70,
78.0,Storuman,,Sweden,173,67,
79.0,Storavan,,Sweden,172,66,
,Lämmijärv,,Estonia/ Russia,171,66,Part of Peipus
80.0,Sinoe,,Romania,171,66,
81.0,Mar Menor,,Spain,170,66,Largest saline lake in Europe Largest lake in Spain
82.0,Nilakka,,Finland,169,65,
83.0,Koitere,,Finland,167,64,
84.0,Leksozero,"Лексозеро, Lieksajärvi",Russia,166,64,
85.0,Stora Lulevatten,,Sweden,165,64,Regulated for hydro power generation
86.0,Iisvesi,,Finland,164,63,
87.0,Åsnen,,Sweden,159,61,
87.0,Juurusvesi–Akonvesi,,Finland,159,61,
89.0,Étang de Berre,"estanh de Bèrra, mar de Bèrra",France,155,60,
89.0,Pyhäjärvi,,Finland,155,60,In Satakunta/Finland Proper
91.0,Kivijärvi,,Finland,154,59,
92.0,Elton,Эльтон,Russia,150,58,
92.0,Vanajavesi,,Finland,150,58,
,Porttipahta,Porttipahdan tekojärvi,Finland,149,58,Reservoir
94.0,Yalpug,Озеро Ялпуг,Ukraine,149,58,
95.0,Como,Lago di Como,Italy,146,56,
96.0,Lappajärvi,,Finland,145,56,Located in an impact crater
97.0,Suontee,,Finland,143,55,
98.0,Lower Kuyto,"Нижнее Куйто, Ala-Kuittijärvi",Russia,141,54,
99.0,Randsfjorden,,Norway,139,54,
99.0,Tyrifjorden,,Norway,139,54,
101.0,Grevelingenmeer,,Netherlands,138.7,53.6,Closed off part of the Rhine-Meuse estuary
102.0,Kallsjön,,Sweden,135,52,
102.0,Viinijärvi,,Finland,135,52,
104.0,Längelmävesi,,Finland,133,51,
