Nr.,Bild,Gipfel,Höhe[3]  (m),Gebirgsgruppe,Land,Dominanz[4]  (km),Schartenhöhe[3][4]  (m),Erstbesteigung[5]
1,,Mont Blanc,4805[Anm. 1],Mont-Blanc-Gruppe,Frankreich /  Italien  [Anm. 2],2812  Kjukjurtlju (RU),4692  Beim Kubenasee (RU)  [Anm. 3],"8. Aug. 1786  Jacques Balmat, Michel-Gabriel Paccard"
2,,Mont Blanc de Courmayeur,4748,Mont-Blanc-Gruppe,Frankreich /  Italien,"0,6  Mont Blanc",7  Col Major,"1877  J. Eccles, J.M.Couttet, A. Payot"
3,,Dufourspitze,4634,Walliser Alpen  Monte-Rosa-Massiv,Schweiz,"78,3  Mont Blanc de Courmayeur",2165  Grosser St. Bernhard,1. Aug. 1855  Charles Hudson und 7 Begleiter
4,,Nordend,4608,Walliser Alpen  Monte-Rosa-Massiv,Italien /  Schweiz,"0,6  Grenzgipfel",89  Silbersattel,"26. Aug. 1861  Edward N. Buxton, T.F. Buxton, John J. Cowell, Michel-Clément Payot, Binder"
5,,Zumsteinspitze,4563,Walliser Alpen  Monte-Rosa-Massiv,Italien /  Schweiz,"0,5  Grenzgipfel",112  Grenzsattel,1. Aug. 1855  Joseph Zumstein Joseph und Johann Niklaus Vincent u. a.
6,,Signalkuppe,4554,Walliser Alpen  Monte-Rosa-Massiv,Italien/  Schweiz,"0,7  Zumsteinspitze",98  Colle Gnifetti,9. Aug. 1842  Giovanni Gnifetti und 7 Begleiter
7,,Dom,4546,Walliser Alpen  Mischabelgruppe,Schweiz,"16,9  Nordend",1057  Neues Weisstor,"11. Sep. 1858  J. Llewellyn Davies, Johannes Zumtaugwald, Johann Kronig, Hieronymous Brantschen"
8,,Liskamm  (Ostgipfel),4532,Walliser Alpen,Italien/  Schweiz,"2,9  Zumsteinspitze",379  Lisjoch,"19. Aug. 1861  Durch 14 Bergsteiger, u. a. der St. Niklauser Bergführer Franz Josef Lochmatter"
9,,Weisshorn,4505,Walliser Alpen  Weisshorngruppe,Schweiz,"11,1  Dom",1234  Furggjoch,"19. Aug. 1861  John Tyndall, Johann Josef Benet, Ulrich Wenger"
10,,Täschhorn,4491,Walliser Alpen  Mischabelgruppe,Schweiz,"1,2  Dom",213  Domjoch,"30. Juli 1862  J. Llewelyn Davies, J. W. Hayward, Peter-Josef Summermatter, Stefan und Johannes Zumtaugwald"
11,,Liskamm  (Westgipfel),4479,Walliser Alpen,Italien/  Schweiz,"1,1  Liskamm-Ostgipfel",61  Einschartung zum Ostgipfel,19. Aug. 1861  William E. Hall und 13 Begleiter (u. a. der St. Niklauser Bergführer Franz Josef Lochmatter)
12,,Matterhorn,4478,Walliser Alpen,Italien/  Schweiz,"13,9  Liskamm-Westgipfel",1043  Col Durand,"14. Juli 1865  Edward Whymper, Michel Croz, Charles Hudson, Lord Francis Douglas, D. Robert Hadow sowie die Zermatter Bergführer Peter Taugwalder Vater und Peter Taugwalder Sohn"
13,,Picco Luigi Amedeo,4469,Mont-Blanc-Gruppe,Italien,"0,7  Mont Blanc de Courmayeur",39  Einschartung zum Mont Blanc de Courmayeur,"20. Juli 1901  G. B. und G. F. Gugliermina, Joseph Brocherel"
14,,Mont Maudit,4465,Mont-Blanc-Gruppe,Frankreich /  Italien,"1,9  Mont Blanc",162  Col de la Brenva,"12. Sep. 1878  Henry S. King, William E. Davidson, Johann Jaun, Johann von Bergen"
15,,Parrotspitze  (Punta Parrot),4434,Walliser Alpen  Monte-Rosa-Massiv,Italien/  Schweiz,"0,9  Signalkuppe",134  Seserjoch,"16. Aug. 1863  Florence Crauford Grove, Melchior Anderegg und 4 Begleiter"
16,,Dent Blanche,4357,Walliser Alpen,Schweiz,"7,4  Matterhorn",916  Wandfluejoch,"18. Juli 1862  Thomas S. Kennedy, William und C. Wigram mit Jean-Baptiste Croz, Johann Kronig"
17,,Ludwigshöhe,4341,Walliser Alpen  Monte-Rosa-Massiv,Italien/  Schweiz,"0,7  Parrotspitze",57  Fiodejoch,25. Aug. 1822  Ludwig von Welden mit Begleitern
18,,Nadelhorn,4327,Walliser Alpen  Mischabelgruppe,Schweiz,"1,7  Dom",207  Lenzjoch,"16. Sep. 1858  Franz Andenmatten, Baptiste Epiney, Aloys Supersaxo, Joseph Zimmermann"
19,,Corno Nero (Schwarzhorn),4321,Walliser Alpen  Monte-Rosa-Massiv,Italien,"0,3  Ludwigshöhe",42  Einschartung zur Ludwigshöhe,"18. Aug. 1873  Marco Maglionini, Albert de Rothschild, Eduard Cupelin mit Peter und Niklaus Knubel"
20,,Combin de Grafeneire,4309,Walliser Alpen  Grand Combin,Schweiz,"26,5  Dent Blanche",1512  Fenêtre de Durand,"20. Juli 1857  Jouvence Bruchez, Benjamin, Maurice Felley"
21,,Dôme du Goûter,4304,Mont-Blanc-Gruppe,Frankreich,"2,0  Mont Blanc",68[6]  Col du Dôme,"17. Sep. 1784  Jean-Marie Couttet, François Cuidet"
22,,Lenzspitze,4293,Walliser Alpen  Mischabelgruppe,Schweiz,"0,5  Nadelhorn",86  Nadeljoch,"1870  Clinton Thomas Dent, Alexander und Franz Burgener"
23,,Finsteraarhorn,4274,Berner Alpen,Schweiz,"51,7  Nadelhorn",2279  Westlich vom Simplonpass,"16. Aug. 1812  Arnold Abbühl, Joseph Bortis, Alois Volker"
24,,Mont Blanc du Tacul,4248,Mont-Blanc-Gruppe,Frankreich,"1,4  Mont Maudit",219[6]  Col Maudit,5. Aug. 1855  Charles Hudson[Anm. 4]
25,,Grand Pilier d’Angle,4243,Mont-Blanc-Gruppe,Italien,"0,7  Mont Blanc de Courmayeur",35  Einschartung zum Mont Blanc de Courmayeur,"3. Aug. 1957  Walter Bonatti, Toni Gobbi[7]"
26,,Stecknadelhorn,4240,Walliser Alpen  Mischabelgruppe,Schweiz,"0,5  Nadelhorn",27  Stecknadeljoch,"8. Aug. 1887  Oscar Eckenstein, Matthias Zurbriggen"
27,,Castor  (Punta Castore),4225,Walliser Alpen  Zwillinge,Italien/  Schweiz,"2,4  Liskamm-Westgipfel",156  Felikjoch,"23. Aug. 1861  William Mathews, F. W. Jacomb, Michel Croz"
28,,Zinalrothorn,4221,Walliser Alpen  Weisshorngruppe,Schweiz,"4,5  Weisshorn",491  Hohlichtpass,"22. Aug. 1864  Florence Crauford Grove, Leslie Stephen, Jakob und Melchior Anderegg"
29,,Hohberghorn,4218,Walliser Alpen  Mischabelgruppe,Schweiz,"0,4  Stecknadelhorn",76  Hohbergjoch,"Aug. 1869  R. B. Heathcote, Franz Biner, Peter Perren, Peter Taugwalder"
30,,Vincent-Pyramide,4215,Walliser Alpen  Monte-Rosa-Massiv,Italien,"0,7  Corno Nero (Schwarzhorn)",128  Einschartung zum Schwarzhorn,"5. Aug. 1819  Johann Nikolaus Vincent, unbekannter Begleiter"
31,,Grandes Jorasses  (Pointe Walker),4208,Mont-Blanc-Gruppe,Frankreich /  Italien,"7,9  Mont Blanc du Tacul",852[6]  Col du Géant,"30. Juni 1868  Horace Walker, Melchior Anderegg, J. Jaun, J. Grange"
32,,Alphubel,4206,Walliser Alpen  Allalingruppe,Schweiz,"2,3  Täschhorn",359  Mischabeljoch,"9. Aug. 1860  T. W. Hinchliff, Leslie Stephen, Melchior Anderegg, Peter Perren"
33,,Rimpfischhorn,4199,Walliser Alpen  Allalingruppe,Schweiz,"4,7  Alphubel",647  Allalinpass,"9. Sep. 1859  Leslie Stephen, Robert Liveing, Melchior Anderegg, Johannes Zumtaugwald"
34,,Aletschhorn,4194,Berner Alpen,Schweiz,"13,5  Finsteraarhorn",1043  Lötschenlücke,"18. Juni 1859  Francis F. Tuckett, Johann Josef Benet, Peter Bohren, V. Tairraz"
35,,Strahlhorn,4190,Walliser Alpen  Allalingruppe,Schweiz,"1,8  Rimpfischhorn",404  Alderpass,"15. Aug. 1854  Edmund J. Grenville, Christopher Smyth, Franz-Josef Andenmatten, Ulrich Lauener"
36,,Combin de Valsorey,4184,Walliser Alpen  Grand Combin,Schweiz,"0,5  Combin de Grafeneire",57  Einschartung zum Combin de Grafeneire,16. September 1872  J. H. Isler und J. Gillioz
36,,Grandes Jorasses  (Pointe Whymper),4184,Mont-Blanc-Gruppe,Frankreich /  Italien,"0,2  Pointe Walker",51[8]  Einschartung zur Pointe Walker,"24. Juni 1865  Edward Whymper, Michel Croz, Christian Almer, F. Biner"
38,,Dent d’Hérens,4173,Walliser Alpen,Italien/  Schweiz,"4,2  Matterhorn",704  Colle Tournanche,"12. Aug. 1863  Florence Crauford Grove, Melchior Anderegg und 5 Begleiter"
39,,Breithorn  (Westgipfel),4160,Walliser Alpen  Breithorn,Italien/  Schweiz,"4,2  Castor",438  Schwarztor,"13. Aug. 1813  Henry Maynard, Joseph-Marie Couttet, Jean Gras, Jean-Baptiste und Jean-Jacques Erin"
40,,Jungfrau,4158,Berner Alpen,Schweiz,"8,3  Aletschhorn",694  Jungfraujoch,"3. Aug. 1811  Johann Rudolf Meyer, Hieronymus Meyer, Alois Volken, Joseph Bortis"
