Unnamed: 0_level_0,Minimale Schartenhöhe,Minimale Schartenhöhe,Minimale Schartenhöhe,Minimale Schartenhöhe,Minimale Schartenhöhe,Minimale Schartenhöhe,Minimale Schartenhöhe,Minimale Schartenhöhe,Minimale Schartenhöhe
Land / Gebirgsgruppe,2000 m,1500 m,1000 m,500 m,300 m,200 m,100 m,30 m,0 m
Schweiz,3,4,9,17,24,28,35,47,48
Italien,1,2,3,5,7,9,19,33,37
Frankreich,2,2,2,4,4,7,11,21,25
Walliser Alpen,1,2,6,11,16,20,26,39,41
Mont-Blanc-Gruppe,1,1,1,3,3,6,11,24,28
Berner Alpen,1,1,2,5,7,7,9,9,9
Pelvoux,1,1,1,1,1,1,1,2,2
Berninagruppe,1,1,1,1,1,1,1,1,1
Grajische Alpen,0,1,1,1,1,1,1,1,1
Total,5[11],7,12[12],22,29,36,49,76,82
