Gipfel,Höhe,Schartenhöhe[14],Anmerkungen,Anmerkungen.1
Großer Gendarm (Weisshorn),4329 m,ca. 57 m[3],G,
Schneedomspitze / Il Naso (Liskamm),4272 m,ca. 40 m,G,
Großer Gendarm (Rimpfischhorn N),4107 m,ca. 40 m,G,
Pilier du Diable (Mont Blanc du Tacul),4067 m,40 m,G,
Lauteraarhorn-Nordgipfel,4015 m,ca. 40 m,G,x
Pic Eccles (Mont Blanc),4041 m,ca. 35 m,G,
Lauteraarhorn-Mittelgipfel,4014 m,33 m[3],G,x
Combin de la Tsessette Westgipfel,4115 m,30 m[3],,x
Pointe Seymour King (Aiguille Blanche de Peuterey SO),4107 m,ca. 30 m,G,
Pointe de’l Androsace (Mont Maudit),4107 m,ca. 30 m,,
Il Roc (Gran Paradiso),4026 m,28 m,,
Mont Maudit Obere Südschulter,4369 m,27 m,,x
Pointe Burnaby (Bishorn),4134 m,ca. 26 m[3],,
Wengen-Jungfrau,4085 m,ca. 26 m[3],,
Mont Maudit Nordost-Gipfel,4336 m,23 m,,x
