Nr.,Image,Summit,Height (m),Range,Country,Isolation[6] (km),Prominence[6] (m),First ascent[7],Easiest (normal) route to summit,Observations
1,,Mont Blanc[Note 2],4809,Mont Blanc Group,France/ Italy [9],"2,812  Elbrus (RU)","4,697  near Lake Kubenskoye (RU) [Note 3]","8 August 1786  Jacques Balmat, Michel-Gabriel Paccard",Goûter Route (PD-/PD+),"Highest mountain of the Alps, border dispute France/Italy"
2,,Mont Blanc de Courmayeur,4748,Mont Blanc Group,France[10]/ Italy [11][12][9],0.6  Mont Blanc,18  Col Major,"18 August 1822  F. Clissold, J. M. Couttet and five guides[13][14]",Goûter Route (PD-/PD+) extension from summit of Mont Blanc,"Fore-summit of Mont Blanc, border dispute France/Italy"
3,,Dufourspitze,4634,Monte Rosa Massif,Switzerland and Italy,78.3  Mont Blanc de Courmayeur,"2,165  Grosser Sankt Bernhard",1 August 1855  Charles Hudson and 7 companions,"From Monte Rosa Hut via Monte Rosa glacier (III, 40°, AD-)","Highest peak of the Monte Rosa Massif, highest peak of the Alps outside of the Mont Blanc Massif"
4,,Nordend,4608,Monte Rosa Massif,Italy/ Switzerland,0.6  Grenzgipfel,89  Silbersattel,"26 August 1861  Edward N. Buxton, T.F. Buxton, John J. Cowell, Michel-Clément Payot, Binder","From Monte Rosa Hut via Silbersattel (II, PD)",
5,,Zumsteinspitze,4563,Monte Rosa Massif,Italy/ Switzerland,0.5  Grenzgipfel,112  Grenzsattel,"1 August 1820  Joseph Zumstein, Joseph Vincent and Johann Niklaus Vincent and others","From Gnifetti Hut (Italian side) via Lys glacier or Monte Rosa Hut (Swiss side) via Grenz glacier to Lys Col and then along the Western flank and SE ridge to the summit (I, PD)",
6,,Signalkuppe,4554,Monte Rosa Massif,Italy/ Switzerland,0.7  Zumsteinspitze,98  Colle Gnifetti,9 August 1842  Giovanni Gnifetti and 7 companions,,"Highest mountain hut and building in Europe, Capanna Regina Margherita, at 4,554 m."
7,,Dom,4546,Mischabel Group,Switzerland,16.9  Nordend,"1,057  Neues Weisstor","11 September 1858  John Llewelyn Davies, Johann Zumtaugwald, Johann Kronig, Hieronymous Brantschen",From Domhütte via Northern flank to the summit (PD),Highest peak located entirely within Switzerland
8,,Lyskamm (Eastern Summit),4532,Wallis Alps,Italy/ Switzerland,2.9  Zumsteinspitze,379  Lisjoch,19 August 1861  by 14 mountaineers,"From Gnifetti Hut via Lys glacier, Lys Col (Lisjoch) and East Ridge to the (Eastern) summit (II, AD)",Western summit (4479 m)
9,,Weisshorn,4505,Wallis Alps,Switzerland,11.1  Dom,"1,234  Furggjoch","19 August 1861  John Tyndall, Johann Joseph Brennen, Ulrich Wenger","East ridge from Weisshornhütte (III, AD)",
10,,Täschhorn,4491,Mischabel Group,Switzerland,1.2  Dom,213  Domjoch,"30 July 1862  John Llewelyn Davies, J.W. Hayward, Peter-Josef Summermatter, Stefan, Johann Zumtaugwald","South East ridge from Mischabeljochbiwak (III, AD)",
11,,Lyskamm (Western Summit),4479,Wallis Alps,Italy/ Switzerland,1.1  Lyskamm Eastern Summit,61  Col to the Eastern Summit,19 August 1861  William E. Hall and 13 companions,West flank from Quintino Sella Hut (PD+),
12,,Matterhorn,4478,Wallis Alps,Italy/ Switzerland,13.9  Lyskamm Western Summit,"1,043  Col Durand","14 July 1865  Croz, Taugwalder, Whymper, Hudson, Douglas and Hadow","Hörnli ridge from Hörnli hut (III, AD)",
13,,Picco Luigi Amedeo,4469,Mont Blanc Group,Italy,0.7  Mont Blanc de Courmayeur,39  Col to Mont Blanc de Courmayeur,"20 July 1901  G.B. and G.F. Gugliermina, Joseph Brocherel",,
14,,Mont Maudit,4465,Mont Blanc Group,France/ Italy,1.9  Mont Blanc,162  Col de la Brenva,"12 September 1878  Henry S. King, William E. Davidson, Johann Jaun, Johann von Bergen",,
15,,Parrotspitze,4434,Monte Rosa Massif,Italy/ Switzerland,0.9  Signalkuppe,134  Seserjoch,"16 August 1863  Florence Crauford Grove, Melchior Anderegg and 4 companions",,
16,,Dent Blanche,4357,Wallis Alps,Switzerland,7.4  Matterhorn,916  Wandfluejoch,"18 July 1862  Thomas S. Kennedy, William and C. Wigram mit Jean-Baptiste Croz, Johann Kronig",,
17,,Ludwigshöhe,4341,Monte Rosa Massif,Italy/ Switzerland,0.7  Parrotspitze,57  Fiodejoch,25 August 1822  Ludwig von Welden and companions,,
18,,Nadelhorn,4327,Mischabel Group,Switzerland,1.7  Dom,207  Lenzjoch,"16 September 1858  Franz Andenmatten, Baptiste Epiney, Aloys Supersaxo, Joseph Zimmermann",,
19,,Schwarzhorn (Corno Nero),4321,Monte Rosa Massif,Italy,0.3  Ludwigshöhe,42  col with the Ludwigshöhe,"18 August 1873  Marco Maglionini, Albert de Rothschild, Eduard Cupelin mit Peter and Nikolaus Knubel",,
20,,Combin de Grafeneire,4309,Grand Combin,Switzerland,26.5  Dent Blanche,"1,512  Fenêtre de Durand","20 July 1857  Jouvence Bruchez, Benjamin, Maurice Felley",,
21,,Dôme du Goûter,4304,Mont Blanc Group,France Italy,2.0  Mont Blanc,68  Col du Dôme,"17 September 1784  Jean-Marie Couttet, François Cuidet",,
22,,Lenzspitze,4293,Mischabel Group,Switzerland,0.5  Nadelhorn,86  Nadeljoch,"1870  Clinton Thomas Dent, Alexander and Franz Burgener",,
23,,Finsteraarhorn,4274,Bernese Alps,Switzerland,51.7  Nadelhorn,"2,279  west of the Simplon Pass","16 August 1812  Arnold Abbühl, Joseph Bortis, Alois Volker",,
24,,Mont Blanc du Tacul,4248,Mont Blanc Group,France,1.4  Mont Maudit,219  Col Maudit,"31 July 1855 J-M Chabot, P-J Mochet, J-M Perrod and James H. Ramsay[15]",,
25,,Grand Pilier d’Angle,4243,Mont Blanc Group,Italy,0.7  Mont Blanc de Courmayeur,35  Col to the Mont Blanc de Courmayeur,"3 August 1957  Walter Bonatti, Toni Gobbi[16]",,
26,,Stecknadelhorn,4240,Mischabel Group,Switzerland,0.5  Nadelhorn,27  Stecknadeljoch,"8 August 1887  Oscar Eckenstein, Matthias Zurbriggen",,
27,,Castor,4225,Wallis Alps,Italy/ Switzerland,2.4  Lyskamm Western Summit,156  Felikjoch,"23 August 1861  William Mathews, F.W. Jacomb, Michel Croz",,
