Name,Country,Height,Range
Rocher de la Tournette,"France, Italy",4677 m,Mont Blanc Massif
Dunantspitze,Switzerland,4632 m,Monte Rosa Massif
Grenzgipfel,"Italy, Switzerland",4618 m,Monte Rosa Massif
Les Bosses,"France, Italy",4547 m,Mont Blanc Massif
La Grande Bosse,"France, Italy",4513 m,Mont Blanc Massif
Monte Cervino Vetta Italiana/Sommet italien du mont Cervin,"Italy, Switzerland","4476,4 m",Pennine Alps
Dom (Großer Gendarm),Switzerland,4468 m,Pennine Alps
Aiguille de la Belle Etoile,Italy,4349 m,Mont Blanc Massif
Grand Gendarme (Weisshorn),Switzerland,4331 m,Pennine Alps
Pointe Mieulet,France,4287 m,Mont Blanc Massif
Liskammnase,"Italy, Switzerland",4272 m,Pennine Alps
Pointe Bayeux,France,4258 m,Mont Blanc Massif
Mont Blanc du Tacul (Punkt E),France,4247 m,Mont Blanc Massif
Aiguille du Croissant,Switzerland,4243 m,Pennine Alps
Pic Tyndall,"Italy, Switzerland",4241 m,Pennine Alps
Picco Muzio,"Italy, Switzerland",4187 m,Pennine Alps
Entdeckungsfels (Roccia della Scoperta),Switzerland,4178 m,Pennine Alps
Balmenhorn,Italy,4167 m,Pennine Alps
Alphubel south top,Switzerland,4166 m,Pennine Alps
Dent d'Hérens la Corne,Switzerland,4148 m,Pennine Alps
Pointe Burnaby,Switzerland,4135 m,Pennine Alps
Alphubel Nordostgipfel,Switzerland,4128 m,Pennine Alps
Alphubel Nordgipfel,Switzerland,4116 m,Pennine Alps
Rimpfischhorn (Großer Gendarm),Switzerland,4108 m,Pennine Alps
Aiguille Blanche de Peuterey (Pointe SO),Italy,4107 m,Mont Blanc Massif
Pointe de l'Androsace,"France, Italy",4107 m,Mont Blanc Massif
Aiguille Blanche de Peuterey (Pointe NW),Italy,4104 m,Mont Blanc Massif
Dent Blanche (Grand Gendarme),Switzerland,4097 m,Pennine Alps
Felikhorn,Italy,4093 m,Pennine Alps
Lenzspitze Großer Gendarm,Switzerland,4091 m,Pennine Alps
Wengen Jungfrau,Switzerland,4089 m,Bernese Alps
Combin de la Tsessette gendarme (south-east),Switzerland,4088 m,Pennine Alps
Pic Lory,France,4086 m,Dauphiné Alps
Dent d'Hérens Gendarme Crochu,Switzerland,4075 m,Pennine Alps
Pilier du Diable,France,4067 m,Mont Blanc Massif
Terzo pilastro del Col Maudit,France,4064 m,Pennine Alps
Pointe Bravais,France,4057 m,Mont Blanc Massif
Pic Eccles,Italy,4041 m,Mont Blanc Massif
"Dent d'Hérens, L'Epaule","Italy, Switzerland",4040 m,Pennine Alps
Gendarme del Col Maudit,France,4032 m,Mont Blanc Massif
Il Roc,Italy,4026 m,Graian Alps
Pointe Eveline,France,4026 m,Mont Blanc Massif
Pointe Croux,France,4023 m,Mont Blanc Massif
La Spedla / Punta Perrucchetti,"Italy, Switzerland",4020 m,Bernina Range
L'Epaule,Switzerland,4017 m,Pennine Alps
Piton des Italiens,"France, Italy",4003 m,Mont Blanc Massif
