Unnamed: 0_level_0,Minimum prominence,Minimum prominence,Minimum prominence,Minimum prominence,Minimum prominence,Minimum prominence,Minimum prominence,Minimum prominence,UIAA list,Enlarged list,Karl Blodig list
Country / Range,"2,000 metres (6,562 ft)","1,500 metres (4,921 ft) (Ultras)","1,000 metres (3,281 ft)","500 metres (1,640 ft)",300 metres (984 ft),200 metres (656 ft),100 metres (328 ft),30 metres (98 ft),-,-,-
Switzerland,3,4,9,17,24,28,37,46,48,71,41
Italy,1,2,3,5,7,8,20,31,38,60,25
France,2,2,2,4,4,6,11,20,25,41,13
Pennine,1,2,6,11,15,19,26,38,41,65,34
Mont Blanc,1,1,1,3,3,5,11,23,28,46,15
Bernese,1,1,2,5,7,7,9,9,9,10,9
Dauphiné,1,1,1,1,1,1,1,1,2,3,1
Bernina,1,1,1,1,1,1,1,1,1,2,1
Graian[22],0,1,1,1,1,1,1,1,1,2,1
Total,5,7,12,22,29,35,51,73,82,128,61
