n°,Altitudine,Vetta,Sezione alpina,Nazioni,Unnamed: 5
1,"4808,72 m",Monte Bianco,Alpi Graie,"Italia, Francia",
2,4765 m,Monte Bianco di Courmayeur[3],Alpi Graie,Italia,
3,4634 m,Punta Dufour (Monte Rosa),Alpi Pennine,Svizzera,
4,4612 m (I) - 4609 (CH),Punta Nordend (Monte Rosa),Alpi Pennine,"Italia, Svizzera",
5,4563 m,Punta Zumstein (Monte Rosa),Alpi Pennine,"Italia, Svizzera",
6,4554 m,Punta Gnifetti (Monte Rosa),Alpi Pennine,"Italia, Svizzera",
7,4545 m,Dom,Alpi Pennine,Svizzera,
8,4527 m,Lyskamm Orientale (Monte Rosa),Alpi Pennine,"Italia, Svizzera",
9,4505 m,Weisshorn,Alpi Pennine,Svizzera,
10,4491 m,Täschhorn,Alpi Pennine,Svizzera,
11,4481 m (I) - 4479 (CH),Lyskamm Occidentale (Monte Rosa),Alpi Pennine,"Italia, Svizzera",
12,4478 m,Cervino,Alpi Pennine,"Italia, Svizzera",
13,4470 m,Picco Luigi Amedeo,Alpi Graie,Italia,
14,4468 m (I) - 4465 (F),Monte Maudit,Alpi Graie,"Italia, Francia",
15,4436 m (I) - 4432 (CH),Punta Parrot (Monte Rosa),Alpi Pennine,"Italia, Svizzera",
16,4357 m,Dent Blanche,Alpi Pennine,Svizzera,
17,4342 m (I) - 4341 (CH),Ludwigshöhe (Monte Rosa),Alpi Pennine,"Italia, Svizzera",
18,4327 m,Nadelhorn,Alpi Pennine,Svizzera,
19,4322 m,Corno Nero (Monte Rosa),Alpi Pennine,Italia,
20,4314 m,Grand Combin de Grafeneire (Grand Combin),Alpi Pennine,Svizzera,
21,4306 m (I) - 4304 (F),Dôme du Goûter,Alpi Graie,"Italia, Francia",
22,4294 m,Lenzspitze,Alpi Pennine,Svizzera,
23,4274 m,Finsteraarhorn,Alpi Bernesi,Svizzera,
24,4248 m,Mont Blanc du Tacul,Alpi Graie,Francia,
25,4243 m,Grand Pilier d'Angle[4],Alpi Graie,Italia,
26,4241 m,Stecknadelhorn,Alpi Pennine,Svizzera,
27,4228 m (CH) - 4221 (I),Castore (Monte Rosa),Alpi Pennine,"Italia, Svizzera",
28,4221 m,Zinalrothorn,Alpi Pennine,Svizzera,
29,4219 m,Hohberghorn,Alpi Pennine,Svizzera,
30,4215 m,Piramide Vincent (Monte Rosa),Alpi Pennine,Italia,
31,4208 m (F) - 4206 (I),Punta Walker (Grandes Jorasses),Alpi Graie,"Italia, Francia",
32,4206 m,Alphubel,Alpi Pennine,Svizzera,
33,4199 m,Rimpfischhorn,Alpi Pennine,Svizzera,
34,4195 m,Aletschhorn,Alpi Bernesi,Svizzera,
35,4190 m,Strahlhorn,Alpi Pennine,Svizzera,
36,4184 m,Grand Combin de Valsorey (Grand Combin),Alpi Pennine,Svizzera,
37,4184 m (F) - 4180 (I),Punta Whymper (Grandes Jorasses),Alpi Graie,"Italia, Francia",
38,4179 m (I) - 4171 (CH),Dent d'Hérens,Alpi Pennine,"Italia, Svizzera",
39,4165 m (I) - 4164 (CH),Breithorn Occidentale (Monte Rosa),Alpi Pennine,"Italia, Svizzera",
40,4160 m (I) - 4159 (CH),Breithorn Centrale (Monte Rosa),Alpi Pennine,"Italia, Svizzera",
41,4158 m,Jungfrau,Alpi Bernesi,Svizzera,
42,4153 m,Bishorn,Alpi Pennine,Svizzera,
43,4141 m,Grand Combin de Tsessette (Grand Combin),Alpi Pennine,Svizzera,
44,4141 m (I) - 4139 (CH),Breithorn Orientale (Monte Rosa),Alpi Pennine,"Italia, Svizzera",
45,4122 m,Aiguille Verte,Alpi Graie,Francia,
46,4114 m,L'Isolée (Aiguilles du Diable),Alpi Graie,Francia,
47,4112 m,Aiguille Blanche de Peuterey,Alpi Graie,Italia,
48,4110 m (F) - 4108 (I),Punta Croz (Grandes Jorasses),Alpi Graie,"Italia, Francia",
49,4109 m,Punta Carmen du Tacul (Aiguilles du Diable),Alpi Graie,Francia,
50,4107 m,Mönch,Alpi Bernesi,Svizzera,
51,4106 m,Breithornzwillinge (Monte Rosa),Alpi Pennine,"Italia, Svizzera",
52,4102 m,Grande Rocheuse,Alpi Graie,Francia,
53,4102 m,Barre des Écrins,Alpi del Delfinato,Francia,
54,4097 m,Punta Mediana du Tacul (Aiguilles du Diable),Alpi Graie,Francia,
55,4092 m (CH) - 4091 (I),Polluce (Monte Rosa),Alpi Pennine,"Italia, Svizzera",
56,4078 m,Schreckhorn,Alpi Bernesi,Svizzera,
57,4075 m,Roccia Nera (Monte Breithorn)[5] (Monte Rosa),Alpi Pennine,"Italia, Svizzera",
58,4074 m,Punta Chaubert du Tacul (Aiguilles du Diable),Alpi Graie,Francia,
59,4069 m,Monte Brouillard,Alpi Graie,Italia,
60,4065 m,Punta Margherita (Grandes Jorasses),Alpi Graie,"Italia, Francia",
61,4064 m,Corno del Diavolo du Tacul (Aiguilles du Diable)[6],Alpi Graie,Francia,
62,4063 m,Obergabelhorn,Alpi Pennine,Svizzera,
63,4061 m,Gran Paradiso,Alpi Graie,Italia,
64,4052 m,Aiguille de Bionnassay,Alpi Graie,"Italia, Francia",
65,4049 m,Pizzo Bernina,Alpi Retiche occidentali,"Italia, Svizzera",
66,4049 m,Gross Fiescherhorn,Alpi Bernesi,Svizzera,
67,4046 m,Punta Giordani (Monte Rosa),Alpi Pennine,Italia,
68,4045 m (F) - 4042 (I),Punta Hélène (Grandes Jorasses),Alpi Graie,"Italia, Francia",
69,4043 m,Grünhorn,Alpi Bernesi,Svizzera,
70,4042 m,Lauteraarhorn,Alpi Bernesi,Svizzera,
71,4035 m,Dürrenhorn,Alpi Pennine,Svizzera,
72,4035 m,Aiguille du Jardin,Alpi Graie,Francia,
73,4027 m,Allalinhorn,Alpi Pennine,Svizzera,
74,4025 m,Hinter Fiescherhorn,Alpi Bernesi,Svizzera,
75,4023 m,Weissmies,Alpi Pennine,Svizzera,
76,4015 m,Dôme de neige des Écrins,Alpi del Delfinato,Francia,
77,4015 m,Dôme de Rochefort,Alpi Graie,"Italia, Francia",
78,4014 m (I) - 4013 (F),Dente del Gigante,Alpi Graie,"Italia, Francia",
79,4013 m,Punta Baretti,Alpi Graie,Italia,
80,4010 m,Lagginhorn,Alpi Pennine,Svizzera,
81,4001 m,Aiguille de Rochefort,Alpi Graie,"Italia, Francia",
82,4000 m,Les Droites,Alpi Graie,Francia,
