Datum,Ort,Land,Opfer,Bemerkungen,T,M,Q
26. Juli 1805,"Molise, Rosolone, Neapel, Isernia",Italien,5.0,,,,2
"1811, 1812","New Madrid, Missouri",USA,,New-Madrid-Erdbeben von 1811: mehrere Erdbeben bei New Madrid mit erheblichen geologischen Veränderungen des Mississippitales zwischen St. Louis und Memphis (Tennessee),,,1
26. März 1812,Caracas,Venezuela,26.0,,33,77,1/2
23. Okt. 1815,Pinglu in Shanxi,China,13.0,"Schwere Schäden unter anderem in Hedong, Xiezhou, Anyi, Yuncheng, Yuxiang, Pinglu und Ruicheng",,68,2
22. Nov. 1815,Bali,Indonesien,10.253,,122,,2
16. Juni 1819,Gujarat,Indien,2.0,,,,1
1822,"Aleppo, Antakya","Syrien, Osmanisches Reich",20.0,,,,2
2. März 1825,"Blida, Algier",Algerien,7.0,,,,2
12. Juni 1830,Cixian in Hebei,China,7.477,,,75,2
6. Sep. 1830,Songming in Yunnan,China,6.7,,,80,2
20. Feb. 1835,Concepción,Chile,5.0,,,,
1. Jan. 1837,Tyros,Libanon,5.7,,,64,2
5. Mai 1842,Cap Haitien,Haiti,5.0,,,81,2
8. Feb. 1843,Inseln über dem Winde,Kleine Antillen,5.0,,33,83,1/2
8. Mai 1847,Nagano,Japan,12.0,,33,74,2
22. Sep. 1850,Xichang und Puge in Sichuan,China,20.65,"Opferzahl nicht sicher zu belegen, einige Quellen sprechen von bis zu 135.000 Toten",,75,[2]/2
1851,"Berat, Elbasan, Tirana, Vlora",Albanien,,,,,2/[8]
14. Aug. 1851,Melfi,Italien,14.0,,,,2
4. Mai 1853,Schiraz,Iran,12.0,,,65,2
11. Juli 1853,Isfahan,Iran,10.0,,,,2
23. Jan. 1855,Wairarapa „lower North Island“,Neuseeland,,,,"8,1–8,2",
25. Juli 1855,Region um Stalden,Schweiz,1.0,Zweitschwerstes Erdbeben der Schweizer Geschichte; zwischen St. Niklaus und Visp kam es zu massiven Gebäudeschäden mit zahlreichen Verletzten.,10,64,[30]
11. Nov. 1855,Tokio,Japan,6.757,,,70,2
9. Jan. 1857,"Fort Tejon, Kalifornien",USA,1.0,Fort-Tejon-Erdbeben 1857,,825,1
16. Dez. 1857,Basilicata,Italien,12.0,,,61,1/2
22. März 1859,Quito,Ecuador,5.0,,,,2
2. Juni 1859,Erzurum,"Osmanisches Reich, heute Türkei",15.0,,,61,2
21. März 1861,Mendoza,Argentinien,18.0,,,,2
13. Aug. 1868,Arica,Peru (heute Chile),25.0,Ferdinand von Hochstetter beschreibt die Entstehung des Tsunami[31],25,"8,5–9,0",1/2
16. Aug. 1868,"Guayaquil, Ibarra, San Pablo","Ecuador, Kolumbien",70.0,Erdbeben von Ecuador 1868,20,77,2
18. Mai 1875,"Cúcuta, San Cayetano, Villa del Rosario",Kolumbien,10.0,,20,75,2
1879,Durrës,Albanien,,,,,2/[8]
1. Juli 1879,Wudu in Gansu,China,22.0,,,80,2
3. Apr. 1881,Chios,Griechenland,7.866,Erdbeben von Chios 1881: fast völlige Zerstörung der Stadt Chios,,73,2
15. Okt. 1883,"Ayvalık, Urla, Cesme","Osmanisches Reich, heute Türkei",15.0,,,,2
25. Dez. 1884,Granada,Spanien,900.0,Erdbeben von Andalusien 1884,,65,[32]
1. Sep. 1886,"Charleston, South Carolina",USA,60.0,Charleston-Erdbeben von 1886,,77,1/2
27. Okt. 1891,Präfekturen Aichi und Shizuoka,Japan,7.273,"Mino-Owari-Erdbeben, 17.175 Verletzte, etwa 140.000 zerstörte Häuser",,80,2
31. Januar und 17. April 1893,Zakynthos,Griechenland,,"2000 Häuser wurden zerstört, weitere 1700 Häuser unbewohnbar, im ländlichen Raum wurden einige Dörfer komplett zerstört. Die Auswirkungen des Bebens mit Zentrum in Zakynthos war die Adriaküste hinauf bis nach Venedig wahrzunehmen.",51–100,64,2
17. Nov. 1893,Quchan,Iran,18.0,,7–17,66,2
17. Jan. 1895,Quchan,Iran,11.0,,,68,2
15. Juni 1896,Sanriku-Küste,Japan,27.122,"Das Meiji-Sanriku-Erdbeben vor der Sanriku-Küste löste einen 23 m hohen Tsunami aus; die Flutwelle überraschte die Bevölkerung während religiöser Feierlichkeiten, mehrere Dörfer wurden zerstört.",,80,2
10. Sep. 1899,Yakutat Bay (Alaska),USA,,Erdbeben in der Yakutat Bay 1899,,82,2
