Datum,Ort,Land,Opfer,Bemerkungen,T,M,Q
13. Feb. 1902,Schemacha,Ostkaukasus,86,andere Quellen nennen etwa 700 Opfer,15,"7,2 MS",2
19. Apr. 1902,,Süden Guatemalas,2.000,,33,"7,5 MS",2
22. Aug. 1902,,Turkestan,2.500,,30,"8,3 MS",2
16. Dez. 1902,Andishan,Usbekistan,4.880,,9,"6,4 MS",2
28. Apr. 1903,,"Osten des Osmanischen Reiches, heute Türkei",3.560,,,"6,3 MS",2
4. Apr. 1905,Kangra,Norden von Indien,20.000,,60,86,2
1. Juni 1905,Shkodra,"Westen des Osmanischen Reiches, heute Albanien",120,,20,66,2
8. Sep. 1905,Kalabrien,Italien,557,,,"7,9 MS",2
31. Jan. 1906,,vor der Küste Ecuadors und Kolumbiens,400–1.000,"Tsunami fordert 400 bis 1000 Opfer. Dem Erdbeben Ecuador-Kolumbien 1906 gingen einige Vorbeben voraus, Nachbeben wurden bis März beobachtet",35,"8,8 MW",2
1. März 1906,Elbasan,Albanien,,,,"6,5 MW",2
16. März 1906,Chiayi (jap. Kagi),Taiwan,1.300,,,"6,8 MS",2
18. Apr. 1906,San Francisco,USA (Kalifornien),3.000,Erdbeben von San Francisco 1906: etwa 3.000 Tote und 250.000 Obdachlose,20,"7,9 MW",2
17. Aug. 1906,Valparaíso,Chile,1.500,lt. USGS 20.000 Tote,25,"8,2 MW",1/2
14. Jan. 1907,,Jamaika,1.000,,,65,2
21. Okt. 1907,,Tadschikistan und Usbekistan,12.000,,33,"8,0 MS",2
28. Dez. 1908,"Messina, Reggio Calabria",Italien,72.000–110.000,Erdbeben von Messina 1908: Erdbeben und Tsunami,10,"7,2 MW",[33][34][35]/2
23. Jan. 1909,Silakor,Westen des Iran,etwa 5.500,,33,"7,7 MS",2
18. Feb. 1911,"Berg-Badachschan, im Pamir",Tadschikistan,,Bergsturz bildet höchsten Damm der Erde und den Saressee,,75,
7. Juni 1911,Michoacán,Mexiko,45,,33,"7,9 Ms",[36]
16. Dez. 1911,Guerrero,Mexiko,28,,50,"7,6 Ms",[37]
9. Aug. 1912,,"europäischer Teil des Osmanischen Reiches, heute Türkei",3.000,Epizentrum im Marmarameer,60,78,2
3. Okt. 1914,Provinz Burdur,"Osmanisches Reich, heute Türkei",4.000,,,"7,0 MS",2
13. Jan. 1915,Avezzano,Italien,30.000,Erdbeben von Avezzano 1915,10,"7,5 MS",2
21. Jan. 1917,Bali,Indonesien,1.500,,,"6,6 MS",2
30. Juli 1917,Yunnan,Süden von China,1.800,,33,68,2
13. Feb. 1918,Guangdong,Südosten von China,2.000,,23,"7,3 MS",2
11. Okt. 1918,,Puerto Rico,116,Erdbeben bei Puerto Rico 1918,15,"7,1 MW",2
26. Nov. 1920,Tepelena,Albanien,200,Zerstörung der Stadt Tepelena,25,"6,2 MW",2/[8]
16. Dez. 1920,Haiyuan in Ningxia,China,200.000,"Erdbeben von Haiyuan 1920, oft als Gansu-Erdbeben bezeichnet",17,"7,8 MW",2
11. Nov. 1922,,Grenzgebiet von Argentinien und Chile,mehr als 100,,25,"8,5 MW",2
3. Feb. 1923,Kamtschatka,Sowjetunion,,,19,"8,3 MW",2
24. März 1923,,China,etwa 3.500,,13,"7,3 MS",2
25. Mai 1923,,Iran,etwa 2.200,,,"5,7 MS",2
1. Sep. 1923,Region Kantō,Japan,etwa 143.000,Großes Kantō-Erdbeben 1923,25,"7,9 MW",1/2
16. März 1925,Provinz Yunnan,China,5.000,,26,"7,0 MS",2
1927,Durrës,Albanien,,,,,2/[8]
7. März 1927,,Südwesten von Japan,3.000,,10,"7,3 MS",2
22. Mai 1927,"Xining, Provinz Gansu",China,41.000,,27,"7,6 MW",2
8. Okt. 1927,Schwadorf,Österreich,0,bisher letztes Erdbeben in Österreich mit einer Epizentralintensität von 8 Grad und schweren Gebäudeschäden,6,52,[9]
1. Mai 1929,,Turkmenistan und Iran,5.800,,50,"7,4 MS",2
1930,Himara,Albanien,,,,,2/[8]
5. Mai 1930,,Süden von Burma,etwa 600,,,"7,3 ML",2
6. Mai 1930,,Iran,1.360,,30,"7,5 MS",2
23. Juli 1930,Irpinia,Süden von Italien,1.430,,7,"6,5 MS",2
1931,Korça,Albanien,,,,,2/[8]
3. Feb. 1931,Hawke’s Bay,Neuseeland,258,"Hawke’s-Bay-Erdbeben von 1931: Zerstörung der Städte Napier, Hastings und Havelock North",,"7,8 MS",
31. März 1931,Managua,Nicaragua,2.500,,,56,2
27. Apr. 1931,Sangesurkamm,"Sowjetunion, heute Armenien und Aserbaidschan",2.890,,22,"6,3 MS",2
10. Aug. 1931,nahe Koktokay in Xinjiang,China,10.000,,25,"8,0 MW",2
3. Juni 1932,Jalisco,Mexiko,etwa 400,Erdbeben von Jalisco 1932,60,"8,1 MW",[38]
25. Dez. 1932,Gansu,China,etwa 275,,,"7,6 MS",2
2. März 1933,Sanriku-Küste,Japan,3.064,Shōwa-Sanriku-Erdbeben 1933,10,"8,4 MW",2
25. Aug. 1933,Sichuan,China,10.000,,,"7,5 MS",2
20. Nov. 1933,Baffin Bay,Nordosten von Kanada,,,15,"7,7 Mw",[39]
15. Jan. 1934,,Indien und Nepal,10.700,,25,"8,1 MW",2
