Date,Magnitude,Location,Depth (km),MMI,Deaths
"May 1, 1929",7.2,"Turkmen Soviet Socialist Republic, Ahal Region",10.0,IX,"3,257–3,800"
"July 23, 1930",6.6,"Italy, Irpinia",15.0,X,1404
"August 10, 1931",8.0,"China, Xinjiang Province",20.0,XI,10000
"May 20, 1932",5.4,"Persia, Mazandaran province",12.0,VIII,1070
"August 25, 1933",7.3,"China, Sichuan Province",15.0,X,"6,865–9,300"
"January 15, 1934",8.0,"Nepal, Koshi",15.0,X,"10,700–12,000"
"May 30, 1935",7.7,"British Raj, Khanate of Kalat",15.0,X,"30,000–60,000"
"April 1, 1936",6.8,"China, Guangxi Province",0.0,IX,1001
"July 31, 1937",6.9,"China, Shandong Province",25.0,IX,3252
"April 19, 1938",6.6,"Turkey, Kırşehir Province",10.0,IX,224
"December 27, 1939",7.8,"Turkey, Erzincan Province",20.0,XII,"32,700–32,968"
"November 10, 1940",7.7,"Romania, Vrancea County",133.0,X,1000
"January 11, 1941",5.8–6.5,"Yemen, Razih District",35.0,VIII,1200
"December 20, 1942",7.0,"Turkey, Erbaa",10.0,IX,3000
"November 27, 1943",7.5,"Turkey, Çankırı",20.0,XI,"2,824–5,000"
"January 15, 1944",7.0,"Argentina, San Juan",15.0,IX,10000
"November 28, 1945",8.1,"British Raj, Makran Coast",15.0,X,"300–4,000"
"August 4, 1946",7.8,"Dominican Republic, Samaná",15.0,IX,2550
"August 4, 1947",7.7,"Peru, Junín Province",20.0,IX,"233–2,233"
"October 6, 1948",7.3,"Soviet Union, Turkmen Soviet Socialist Republic",15.0,X,"10,000–110,000"
"July 10, 1949",7.5,"Soviet Union, Tajik Soviet Socialist Republic",18.0,IX,7200
"August 15, 1950",8.6,"India, Assam",15.0,XI,4800
"May 6, 1951",5.9–6.2,"El Salvador, Usulután",85.0,VIII,"400–1,100"
"November 5, 1952",9.0,"Soviet Union, Russian Soviet Socialist Republic",21.6,XI,2336
"March 18, 1953",7.5,"Turkey, Balıkesir Province",10.0,IX,1070
"September 9, 1954",6.7,"France, Chlef Province, Algeria",15.0,XI,"1,243–1,409"
"March 31, 1955",7.4,"Philippines, Western Mindanao",35.0,VIII,465
"October 31, 1956",6.4,"Iran, Hormozgan",15.0,VII,347
"December 13, 1957",6.5,"Iran, Hamadan",15.0,VII,1130
"August 16, 1958",6.7,"Iran, Lorestan",15.0,VII,132
"August 18, 1959",7.3,"United States, Montana",5.0,X,28
"February 29, 1960",5.8,"Morocco, Souss-Massa",15.0,X,"12,000–15,000"
"June 11, 1961",6.4,"Iran, Fars province",15.0,VIII,60
"September 1, 1962",7.1,"Iran, Qazvin province",10.0,IX,12225
"July 26, 1963",6.1,"Yugoslavia, Macedonia",15.0,X,1070
"March 27, 1964",9.2,"United States, Alaska",25.0,XI,131
"March 28, 1965",7.4–7.6,"Chile, Valparaíso Region",70.0,IX,400–500
"March 22, 1966",6.8,"China, Hebei",20.0,IX,8064
"July 29, 1967",6.6,"Venezuela, Vargas",25.0,VIII,225–300
"August 31, 1968",7.1,"Iran, South Khorasan province",10.0,X,15900
"July 25, 1969",6.4,"China, Guangdong",20.0,VIII,3000
"May 31, 1970",7.9,"Peru, Ancash",45.0,VIII,"66,794–70,000"
"May 22, 1971",6.6,"Turkey, Bingöl",10.0,VIII,875[24]
"April 10, 1972",6.7,"Iran, Fars",10.0,IX,5374
"February 6, 1973",7.6,"China, Sichuan",11.0,X,"2,175–2,204"
"May 10, 1974",7.1,"China, Yunnan",14.0,IX,"1,641–20,000"
"September 6, 1975",6.7,"Turkey, Diyarbakır",26.0,IX,2311
"July 28, 1976",7.6,"China, Hebei",12.2,XI,"242,719–655,000"
"March 4, 1977",7.5,"Romania, Vrancea",85.3,IX,1700
"September 16, 1978",7.4,"Iran, Yazd",33.0,IX,"15,000–25,000"
"December 12, 1979",8.2,"Colombia, Nariño",33.0,IX,300–600
