Country/Territory,Magnitude,Date,More information
Afghanistan,7.8,"November 15, 1921",[96]
Albania,6.7,"November 30, 1967",[97]
Algeria,7.1,"October 10, 1980",1980 El Asnam earthquake
American Samoa,6.4,"October 11, 1944",[98]
Andorra,6.7 Me,"February 2, 1428",1428 Catalonia earthquake
Angola,6.0,"May 24, 1914",[99]
Anguilla,6.3,"February 16, 1906",[100]
Antarctica,8.1,"March 25, 1998",1998 Balleny Islands earthquake
Antigua and Barbuda,8.0 Ms,"April 16, 1690",[101]
Argentina,7.5,"November 23, 1977",1977 San Juan earthquake
Armenia,6.8 Ms,"December 7, 1988",1988 Armenian earthquake
Aruba,4.7,"August 27, 2011",[102]
Australia,8.0,"May 23, 1989",[103]
Austria,5.6–6.5,"September 15, 1590",1590 Neulengbach earthquake
Azerbaijan,7.0–7.3,"September 30, 1139",1139 Ganja earthquake
Bahamas,3.2,"February 22, 1992",[104]
Bangladesh,8.5–8.8,"April 2, 1762",1762 Arakan earthquake
Barbados,6.5,"February 18, 2014 & July 16, 2015",[105][106]
Belgium,6.0–6.5 Ms,"September 18, 1692",1692 Northwestern Europe earthquake
Belize,4.7 mb,"June 28, 1985",[107]
Benin,4.4 mb,"September 11, 2009",[108]
Bermuda,5.3,"August 27, 1988",[109]
Bhutan,7.6–8.6,"May 4, 1714",1714 Bhutan earthquake
Bolivia,8.2,"June 9, 1994",1994 Bolivia earthquake
Bosnia and Herzegovina,6.1,"October 27, 1969",1969 Banja Luka earthquake
Botswana,6.7 ML,"October 11, 1952",[110]
Brazil,7.6,"November 9, 1963",[111]
British Indian Ocean Territory,7.3,"November 30, 1983",1983 Chagos Archipelago earthquake
British Virgin Islands,5.9,"June 26, 1985",[112]
Brunei,5.2 mb,"February 22, 1992",[113]
Bulgaria,7.2,"March 31, 1901 & April 4, 1904",1901 Black Sea earthquake & 1904 Kresna earthquakes
Burundi,5.4,"October 30, 1966",[114]
Cameroon,5.9,"September 12, 1945",[115]
Canada,8.7–9.2,"January 26, 1700",1700 Cascadia earthquake
Cape Verde,6.5,"August 15, 1941",[116]
Caribbean Netherlands,5.2,"March 10, 2017",[117]
Cayman Islands,7.7,"January 28, 2020",2020 Caribbean earthquake
Central African Republic,4.9 mb,"February 6, 1994",[118]
Chile,9.4–9.6,"May 22, 1960",1960 Valdivia earthquake
China,8.6,"August 15, 1950",1950 Assam–Tibet earthquake
Christmas Island,6.9,"July 24, 1979",[119]
Cocos (Keeling) Islands,7.9,"June 18, 2000",[120]
Colombia,8.8,"January 31, 1906",1906 Ecuador–Colombia earthquake
Comoros,6.2,"August 23, 1918",[121]
Congo,5.2,"April 26, 1998",[122]
Costa Rica,7.7,"April 22, 1991",1991 Limon earthquake
Croatia,6.7,"July 2, 1898",1898 Trilj earthquake
Cuba,7.1,"February 20, 1917",[123]
Curaçao,4.4,"October 31, 2024",[124]
Cyprus,7.0–7.5,"May 11, 1222",1222 Cyprus earthquake
Czech Republic,4.8 ML,"December 23, 1985",[125]
Democratic Republic of the Congo,6.9,"December 13, 1910",[126]
Denmark,4.4 mb,"February 19, 2010",[127]
Djibouti,6.5,"August 20, 1989",[128]
Dominica,6.4,"January 8, 1959",[129]
Dominican Republic,7.8,"August 4, 1946",1946 Dominican Republic earthquake
East Timor,7.2,"September 29, 1905",[130]
Ecuador,8.8,"January 31, 1906",1906 Ecuador–Colombia earthquake
Egypt,7.3,"November 22, 1995",1995 Gulf of Aqaba earthquake
El Salvador,8.0 MI,"December 19, 1862",[131]
Equatorial Guinea,4.9 mb,"March 28, 1999",[132]
Eritrea,6.6,"December 28, 1977",[133]
Estonia,4.5–4.7 mb,"October 25, 1976",Osmussaar earthquake
Eswatini,4.4 mb,"August 4, 1987",[134]
Ethiopia,6.5,"August 25, 1906",[135]
Falkland Islands,7.4,"August 17, 1908",[136]
Faroe Islands,3.2,"February 21, 2007",[137]
Fiji,8.2,"August 19, 2018",2018 Fiji earthquakes
Finland,4.7 Muk,"November 4, 1898",[138]
France,6.4–6.5 Muk,"January 25, 1799",1799 Vendée earthquake
French Guiana,6.9,"August 4, 1885",[139]
French Polynesia,5.6,"March 6, 1965",[140]
Gabon,6.0,"September 23, 1974",[141]
Georgia,7.0,"April 29, 1991",1991 Racha earthquake
Germany,6.4 ML,"February 18, 1756",1756 Düren earthquake
Ghana,6.4,"June 22, 1939",[142]
Greece,8.5+,"July 21, 365",365 Crete earthquake
Greenland,7.4,"November 20, 1933",1933 Baffin Bay earthquake
Grenada,7.0 Ms,"December 3, 1831",[143]
Guadeloupe,8.5 Muk,"February 8, 1843",1843 Guadeloupe earthquake
Guam,7.8,"August 8, 1993",1993 Guam earthquake
Guatemala,7.7,"August 6, 1942",1942 Guatemala earthquake
Guinea,6.3,"December 22, 1983",1983 Guinea earthquake
Guyana,5.5,"January 31, 2021",[144]
Haiti,8.1 Ms,"May 7, 1842",1842 Cap-Haïtien earthquake
Honduras,7.6,"February 8, 2025",[145]
Hong Kong,3.8 ML,"January 5, 2020",[146]
Hungary,6.2–6.5,"June 28, 1763",1763 Komárom earthquake
Iceland,7.0,"January 22, 1910",[147]
India,8.6,"August 15, 1950",1950 Assam–Tibet earthquake
Indonesia,9.2–9.3,"December 26, 2004",2004 Indian Ocean earthquake and tsunami
Iran,7.9 Ms,"December 22, 856",856 Damghan earthquake
Iraq,7.0,"September 22, 1666",[148]
