Rank,Event,Location,Magnitude,Property damage
1,2011 Tōhoku earthquake and tsunami,Japan,9.1,$360 billion[217][218]
2,1995 Great Hanshin earthquake,Japan,6.9,$200 billion[219]
3,2023 Turkey–Syria earthquakes,Turkey Syria,7.8,$163.6 billion[220][221]
4,2008 Sichuan earthquake,China,7.9,$150 billion[222]
5,2011 Christchurch earthquake,New Zealand,6.3,$40 billion[223]
6,2004 Chūetsu earthquake,Japan,6.6,$28 billion[224][225]
7,2011 Sikkim earthquake,India,6.9,$22.3 billion[226]
8,1999 İzmit earthquake,Turkey,7.6,$20 billion[224]
9,2009 L'Aquila earthquake,Italy,6.3,$16 billion[227]
10,2012 Northern Italy earthquakes,Italy,6.1,$15.8 billion[228]
