vteNatural disasters – list by death toll,vteNatural disasters – list by death toll.1
Geological,Mass wasting Landslide Avalanche Mudflow Debris flow Earthquake (List) Seismic hazard Seismic risk Soil liquefaction Volcano eruption Pyroclastic flow Lahar Volcanic ash Natural erosion Sinkhole
Mass wasting,Landslide Avalanche Mudflow Debris flow
Earthquake (List),Seismic hazard Seismic risk Soil liquefaction
Volcano eruption,Pyroclastic flow Lahar Volcanic ash
Natural erosion,Sinkhole
Hydrological,Flood (List) Coastal flood Flash flood Storm surge Other Tsunami Megatsunami Limnic eruption
Flood (List),Coastal flood Flash flood Storm surge
Other,Tsunami Megatsunami Limnic eruption
Meteorological,Temperature Blizzard Cold wave Ice storm Heat wave Drought Megadrought Cyclonic storms Bomb cyclone Thunderstorm (Hail) Tornado (Tornado outbreak) Tropical cyclone Other Derecho Wildfire Firestorm ARkStorm
Temperature,Blizzard Cold wave Ice storm Heat wave
Drought,Megadrought
Cyclonic storms,Bomb cyclone Thunderstorm (Hail) Tornado (Tornado outbreak) Tropical cyclone
Other,Derecho Wildfire Firestorm ARkStorm
Astronomical,Potentially hazardous object Impact event Meteor shower Geomagnetic storm Solar flare Supernova Hypernova
