Pos.,Data,Luogo,Evento,Magnitudo
1,22-05-1960,"Valdivia, Cile",Terremoto di Valdivia del 1960,"9,5[5]"
2,27-03-1964,"Stretto di Prince William, Alaska (Stati Uniti)",Terremoto dell'Alaska del 1964,"9,2[5]"
3,26-12-2004,"Oceano Indiano, Sumatra, Indonesia",Terremoto e maremoto dell'Oceano Indiano del 2004,"9,1[5]"
4,11-03-2011,"Oceano Pacifico, Regione di Tōhoku, Giappone",Terremoto e maremoto del Tōhoku del 2011,"9,0[6][7][8]"
5,04-11-1952,"Kamčatka, Russia (all'epoca in URSS)",Terremoto della Kamčatka del 1952,"9,0[9]"
6,13-08-1868,"Arica, Cile",Terremoto di Arica del 1868,"9,0 (stima)[10]"
7,26-01-1700,"Oceano Pacifico, America settentrionale",Terremoto della Cascadia del 1700,"8,7-9,2 (stima)[11]"
8,09-07-1869,"Oceano Pacifico, Regione di Tōhoku, Giappone",Terremoto del Tōhoku dell'869,"8,9 (stima)"
9,02-12-1611,"Oceano Pacifico, Hokkaidō, Giappone",Terremoto dell'Hokkaido del 1611,"8,9 (stima)"
10,02-04-1762,"Chittagong, Bangladesh",Terremoto di Arakan del 1762,"8,8 (stima)"
11,25-11-1833,"Sumatra, Indonesia",Terremoto di Sumatra del 1833,"8,8 (stima)"
12,31-01-1906,Regione costiera di Ecuador e Colombia,Terremoto in Ecuador e Colombia del 1906,"8,8[5]"
13,27-02-2010,"Regione del Maule, Cile",Terremoto del Cile del 2010,"8,8[5]"
14,15-08-1950,"Assam, India - Tibet, Cina",Terremoto di Assam del 1950,87
15,20-10-1707,"Oceano Pacifico, Shikoku, Giappone",Terremoto di Hōei del 1707,"8,7 (stima)"
16,08-07-1730,"Valparaíso, Cile",Terremoto di Valparaíso del 1730,"8,7 (stima)[12]"
17,01-11-1755,"Oceano Atlantico, Lisbona, Portogallo",Terremoto di Lisbona del 1755,"8,5-9,0[13]"
18,02-02-1965,"Isole Rat, Alaska, Stati Uniti",Terremoto delle Isole Rat del 1965,"8,7[5]"
19,28-10-1746,"Lima, Perù",Terremoto di Lima del 1746,"8,6 (stima)"
20,28-02-1787,"Oaxaca, Messico",Terremoto del Messico del 1787,"8,6 (stima)"
21,03-09-1957,"Isole Andreanof, Alaska, Stati Uniti",Terremoto delle Isole Andreanof del 1957,"8,6[5]"
22,28-03-2005,"Sumatra, Indonesia",Terremoto di Sumatra del 2005,"8,6[5]"
23,11-04-2012,"Oceano Indiano, Sumatra, Indonesia",Terremoto dell'Oceano Indiano del 2012,86
24,16-12-1575,"Valdivia, Cile",Terremoto di Valdivia del 1575,"8,5 (stima)"
25,24-11-1604,"Arica, Cile",Terremoto di Arica del 1604,"8,5 (stima)"
26,13-05-1647,"Santiago del Cile, Cile",Terremoto di Santiago del 1647,"8,5 (stima)"
27,24-05-1751,"Concepción, Cile",Terremoto di Concepción del 1751,"8,5 (stima)"
28,19-11-1822,"Valparaíso, Cile",Terremoto di Valpairiso del 1822,"8,5 (stima)"
29,20-02-1835,"Concepción, Cile",Terremoto di Concepción del 1835,"8,5 (stima)"
30,16-02-1861,"Sumatra, Indonesia",Terremoto di Sumatra del 1861,85
31,09-05-1877,Iquique Cile (all'epoca in Perù),Terremoto di Iquique del 1877,"8,5 (stima)"
32,10-11-1922,"Regione di Atacama, Cile",Terremoto di Vallenar del 1922,"8,5[14]"
33,01-02-1938,"Mar di Banda, Indonesia",Terremoto nel Mar di Banda del 1938,"8,5[5]"
34,13-10-1963,"Isole Curili, Russia (all'epoca in URSS)",Terremoto delle Isole Curili del 1963,"8,5[5]"
35,12-09-2007,"Sumatra, Indonesia",Terremoto di Sumatra del 2007,"8,5[5]"
36,20-10-1687,"Lima, Perù",Terremoto di Lima del 1687,"8,5 (stima)"
37,17-10-1737,"Kamčatka, Russia",Terremoto di Kamčatka del 1737,"8,5 (stima)"
38,03-08-1361,"Oceano Pacifico, Shikoku, Giappone",Terremoto del Shikoku del 1361,"8,5 (stima)"
39,15-06-1896,"Oceano Pacifico, Regione di Tōhoku, Giappone",Terremoto del Tōhoku del 1896,"8,5 (stima)"
40,29-07-2021,"Dillingham, Alaska",Terremoto dell'Alaska del 2021,"8,2[15]"
