Land/plaats,Gebeurtenis,Datum,Magnitude,Breedte,Lengte
"Valdivia, Chili",Grote Chileense Aardbeving,22-05-1960,96,38.2 Z,72.6 W
"Atjeh, Indonesië",Zeebeving Indische Oceaan 2004,26-12-2004,93,3.3 N,95.8 O
"Prince William Sound, Verenigde Staten",Aardbeving Alaska 1964,28-03-1964,92,61.1 N,147.5 W
"Sendai, Japan",Zeebeving Japan 2011,11-03-2011,91,38.0 N,142.9 O
"Kamtsjatka, Rusland/ Sovjet-Unie[25]",Aardbeving Kamtsjatka 1952,04-11-1952,90,52.7 N,159.5 O
"Cobquecura, Chili",Aardbeving Chili februari 2010,27-02-2010,88,35.38 Z,72.72 W
"Esmeraldas, Ecuador",Aardbeving Ecuador 1906,31-01-1906,88,1.0 N,81.5 W
"Aleoeten, Verenigde Staten",Aardbeving Alaska 1965,04-02-1965,87,51.2 N,178.7 O
"Arunachal Pradesh, India",Aardbeving India 1950,15-08-1950,86,28.3 N,96.4 O
"Atjeh, Indonesië",Zeebeving Indische Oceaan 2012,11-04-2012,86,"3,3 N","95,8 O"
