0,1,2,3,4
日期,地點,死亡人數,震度或強度,備註
前1831年,中國（商朝）泰山,?,<6.5[2],有史以來最早記錄的地震[3] 參見泰山震
前464年,希臘斯巴達,?,–,導致希洛人的起義，伯羅奔尼撒戰爭的起因之一[4]
前226年,希臘羅德島,?,–,摧毀了世界七大奇跡中的羅得島太陽神銅像[5]
365年7月21日,地中海东部克里特大地震,數千人,8,
526年5月20日,敘利亞安提阿克亞 （中國古稱條支）,250000,–,
856年,伊朗達姆甘（Damghan）,200000,–,
856年,希臘科林斯,45000,–,
893年,印度烏代浦爾（UDaipur）,180000,–,
893年,伊朗阿爾達比（Ardebil）,150000,–,
1138年8月9日,敘利亞阿勒坡（Aleppo）,230000,XI,
1290年9月27日,元帝國直隸（河北省）,"100,000?",IX,元至元27年8月
1303年9月17日,元帝國山西洪洞赵城,"200,000- 475,800",XI,元大德七年八月初六戌时
1604年12月29日,明帝國泉州外海,?,IX,明萬曆32年
1605年7月13日,中國海南瓊山,3300,IX,明萬曆33年
1667年11月,波斯薩法維王朝（現今亞塞拜然）,80000,–,
1668年7月25日,清帝國山东郯城,50000,XII,清康熙七年六月十七戌时
1693年1月11日,西西里島,70000,–,
1730年12月30日,日本北海道,137000,–,
1737年10月11日,現今印度加爾各答,300000,–,最近的研究指出傷亡主要是熱帶氣旋造成，而不是地震
1739年1月3日,清帝國寧夏平羅,50000,X,清乾隆3年10月
1850年9月12日,清帝國四川西昌,20000,X,清道光30年8月
1879年7月1日,清帝國甘肅武都,20000,XI,清光緒5年5月
1906年3月16日,日治台灣嘉義,1260,7.1,參見1906年梅山地震
1932年12月25日,中華民國甘肅昌马堡（玉门市昌马乡）,70000,7.6,
1935年4月21日,日治台灣新竹-台中,3279,7.1,參見1935年新竹台中地震
