排名,日期,位置,震级
1,1960年5月22日,智利瓦爾迪維亞（参看：1960年智利大地震）,9.5
2,2004年12月26日,印度尼西亚北苏门答腊西海岸（参看：2004年印度洋地震）,9.1-9.3**
3,1964年3月27日,美国阿拉斯加威廉王子灣（参看：耶穌受難日地震）,9.2
-,1833年11月25日,印度尼西亚苏门答腊 （参看：1833年蘇門答臘地震（英语：1833 Sumatra earthquake））,8.8-9.2***
-,1700年1月26日,卡斯凱迪亞（参看：1700年卡斯凱迪亞地震）,8.7-9.2***
4,2011年3月11日,日本宫城县（参看：2011年东北地方太平洋近海地震）,9.1****
5,1952年11月4日,堪察加，俄罗斯（参看：1952年堪察加地震）,9.0
-,1755年11月1日,葡萄牙里斯本（参看：1755年里斯本大地震）,8.5-9.0***
6,2010年2月27日,智利康赛普西翁（参看：2010年智利大地震）,8.8*
-,1906年1月31日,哥伦比亚與厄瓜多（参看：1906年厄瓜多地震（英语：1906 Ecuador–Colombia earthquake））,8.8
7,2005年3月28日,印度尼西亚北苏门答腊（参看：2005年苏门答腊地震）,8.5-8.7*
-,1965年2月4日,拉特群島，阿拉斯加，美国 （参看：1965年拉特群島地震）,8.7
8,2012年4月11日,印度尼西亚北苏门答腊西海岸（参看：2012年苏门答腊地震）,8.6
-,1950年8月15日,中国西藏地方墨脫县（参看：1950年墨脫地震）,8.6
9,2007年9月12日,印度尼西亚南苏门答腊（参看：2007年苏门答腊地震）,8.5
-,1668年7月25日,中国山东郯城、莒縣（参看：郯城大地震）,~8.5
-,1575年12月16日,智利瓦爾迪維亞（参看：1575年瓦爾迪維亞大地震）,8.5
