排名,地震名,日期,位置,遇难人数,震级,附注
1,嘉靖大地震,1556年1月23日,中国陝西,830000,8.3,不包括没有登记户口的居民
2,2010年海地地震,2010年1月12日,海地太子港,"316,000[6][7]",7.0,官方傷亡數字嚴重失真
3,2004年印度洋大地震,2004年12月26日,印度尼西亚北苏门答腊西海岸,300000,9.1-9.3,死于地震和海啸。
4,海原大地震,1920年12月16日,中國宁夏、甘肃,273400,8.5,
5,唐山大地震,1976年7月28日,中国唐山,"242,769（官方）",7.8,
6,1138年阿勒颇大地震,1138年8月9日,叙利亚阿勒颇,230000,,"在15世紀第一次提到有爭議的230,000死亡人數"
7,洪洞趙城地震,1303年9月17日,中国山西洪洞赵城,"200,000- 475,800",~8,
8,856年達姆甘地震（英语：856 Damghan earthquake）,856年12月22日,伊朗達姆甘,200000,,
9,阿尔达比勒地震（英语：893 Ardabil earthquake）,893年3月23日,伊朗阿尔达比勒,150000,,
10,关东大地震,1923年9月1日,日本关东平原,143000,7.9,东京大火灾
11,阿什哈巴德地震,1948年10月6日,土库曼斯坦阿什哈巴德,110000,7.3,
12,1290年直隶地震,1290年9月27日,中國內蒙古寧城,100000,6.8,
13,2005年克什米尔地震,2005年10月8日,克什米尔及巴基斯坦N.W.F.P,"100,000（估计）80,000（官方）",7.6 or 7.8,350万人无家可归，10万人生命受到威胁
来源：USGS[1],来源：USGS[1],来源：USGS[1],来源：USGS[1],来源：USGS[1],来源：USGS[1],来源：USGS[1]
