vteSeven Summits,vteSeven Summits.1
Asia,"Mount Everest (8,848 m or 29,029 ft)"
South America,"Aconcagua (6,962 m or 22,841 ft)"
North America,"Denali (6,198 m or 20,335 ft)"
Africa,"Mount Kilimanjaro (5,893 m or 19,334 ft)"
Europe,"Conventional Mount Elbrus (5,642 m or 18,510 ft) Alternative Mont Blanc (4,810 m or 15,781 ft)"
Conventional,"Mount Elbrus (5,642 m or 18,510 ft)"
Alternative,"Mont Blanc (4,810 m or 15,781 ft)"
Antarctica,"Vinson Massif (4,892 m or 16,050 ft)"
Australia,"Continent Puncak Jaya (4,884 m or 16,024 ft) Political Mount Wilhelm (4,509 m or 14,793 ft) Mainland Mount Kosciuszko (2,228 m or 7,310 ft)"
Continent,"Puncak Jaya (4,884 m or 16,024 ft)"
Political,"Mount Wilhelm (4,509 m or 14,793 ft)"
Mainland,"Mount Kosciuszko (2,228 m or 7,310 ft)"
