Unnamed: 0,Liste dei precursori (solo cinque vette ),"Lista ""Elbrus - Kosciuszko""","Lista ""Elbrus - Puncak Jaya""","Lista ""M. Bianco - Puncak Jaya"""
Europa,Monte Bianco,Elbrus,Elbrus,Monte Bianco
Africa,Kilimangiaro,Kilimangiaro,Kilimangiaro,Kilimangiaro
Asia,Everest (lista di Naomi Uemura),Everest,Everest,Everest
America del Nord,Denali,Denali,Denali,Denali
America del Sud,Aconcagua,Aconcagua,Aconcagua,Aconcagua
Oceania,Kosciuszko (lista di William D. Hackett),Kosciuszko,Puncak Jaya,Puncak Jaya
Antartide,-,Vinson,Vinson,Vinson
Primo alpinista ad aver scalato tutta la serie,-,Richard Daniel Bass,Patrick Morrow,Reinhold Messner
Secondo alpinista ad aver scalato tutta la serie,-,Gerald Roach,Reinhold Messner,Gerhard Schmatz
